file_name,formula,energy,bandgap,Application_Class,Origin_Campaign,type,space_group_symbol,space_group_number,num_atoms
Ti3O7_id1090_Final_E-8.49.cif,Ti3O7,-8.4865,0.45,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,20
CaN30_id761_Final_E-8.25.cif,CaN30,-8.2541,0.929,IR / Narrow-Gap,SOLAR,Semiconductor,P3,143,93
Ti2C7_id2655_Final_E-8.24.cif,Ti2C7,-8.2416,1.719,Solar / Visible,SOLAR,Semiconductor,C2,5,36
Li2Ti2O5_id2311_Final_E-7.93.cif,Li2Ti2O5,-7.933,2.906,Wide-Gap Power/LED,SOLAR,Semiconductor,Pbcn,60,36
MgN14_id1582_Final_E-7.87.cif,MgN14,-7.8743,1.341,Solar / Visible,SOLAR,Semiconductor,Cc,9,60
SrN10_id1581_Final_E-7.86.cif,SrN10,-7.8577,2.23,Wide-Gap Power/LED,SOLAR,Semiconductor,Fdd2,43,44
Sc3GeN_id866_Final_E-7.75.cif,Sc3GeN,-7.7524,0.252,IR / Narrow-Gap,SOLAR,Semiconductor,Pm-3m,221,5
Sc2GaSiO4_id2705_Final_E-7.71.cif,Sc2GaSiO4,-7.7082,3.459,Wide-Gap Power/LED,SOLAR,Semiconductor,Ccc2,37,16
Ba(N4O)3_id2670_Final_E-7.66.cif,Ba(N4O)3,-7.6625,2.964,Wide-Gap Power/LED,SOLAR,Semiconductor,P-1,2,32
Ti3(SnO)2_id3279_Final_E-7.40.cif,Ti3(SnO)2,-7.403,0.343,IR / Narrow-Gap,SOLAR,Semiconductor,P4/mnc,128,28
SrGa(SiO3)2_id1687_Final_E-7.31.cif,SrGa(SiO3)2,-7.3095,2.774,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,10
NaCaSc2O6_id741_Final_E-7.28.cif,NaCaSc2O6,-7.2819,3.108,Wide-Gap Power/LED,SOLAR,Semiconductor,P1,1,10
AlN_id2713_Final_E-7.22.cif,AlN,-7.2236,3.087,Wide-Gap Power/LED,SOLAR,Semiconductor,Fmm2,42,16
N2O_id759_Final_E-7.19.cif,N2O,-7.1944,0.987,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1,4,12
Ti2B7_id3116_Final_E-7.14.cif,Ti2B7,-7.1411,1.448,Solar / Visible,SOLAR,Semiconductor,C222_1,20,36
LiTiN_id1437_Final_E-7.13.cif,LiTiN,-7.1331,1.48,Solar / Visible,SOLAR,Semiconductor,P2_12_12_1,19,12
TiSeO3_id842_Final_E-7.12.cif,TiSeO3,-7.1246,1.793,Solar / Visible,SOLAR,Semiconductor,P6_3mc,186,10
TiGaO_id2817_Final_E-7.08.cif,TiGaO,-7.082,0.893,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1/c,14,24
Al2C2O3_id359_Final_E-7.05.cif,Al2C2O3,-7.0459,0.295,IR / Narrow-Gap,SOLAR,Semiconductor,Pbcn,60,28
Ca2N5_id2630_Final_E-7.03.cif,Ca2N5,-7.0287,0.453,IR / Narrow-Gap,SOLAR,Semiconductor,Pccn,56,28
B2PC8_id2556_Final_E-6.99.cif,B2PC8,-6.9866,2.41,Wide-Gap Power/LED,SOLAR,Semiconductor,C2,5,22
TiS_id3172_Final_E-6.94.cif,TiS,-6.9365,2.151,Wide-Gap Power/LED,SOLAR,Semiconductor,Pm-3m,221,24
InCO4_id1566_Final_E-6.71.cif,InCO4,-6.7136,3.02,Wide-Gap Power/LED,SOLAR,Semiconductor,I4_1/a,88,24
Ge2O3_id247_Final_E-6.61.cif,Ge2O3,-6.6057,0.556,IR / Narrow-Gap,SOLAR,Semiconductor,P2_1/c,14,20
NO_id3379_Final_E-6.61.cif,NO,-6.6051,2.183,Wide-Gap Power/LED,SOLAR,Semiconductor,Pbca,61,16
Mg5N12_id2310_Final_E-6.60.cif,Mg5N12,-6.6024,1.504,Solar / Visible,SOLAR,Semiconductor,P-42_1c,114,34
Ti7GaO6_id1510_Final_E-6.59.cif,Ti7GaO6,-6.5927,1.491,Solar / Visible,SOLAR,Semiconductor,P1,1,56
Ca2Si2C15_id2917_Final_E-6.57.cif,Ca2Si2C15,-6.5678,0.903,IR / Narrow-Gap,SOLAR,Semiconductor,P1,1,57
MgN2_id2298_Final_E-6.51.cif,MgN2,-6.5083,2.782,Wide-Gap Power/LED,SOLAR,Semiconductor,P-6m2,187,3
