file_name,formula,energy,bandgap,Application_Class,type,space_group_symbol,space_group_number,num_atoms
KSc3O7_Pm-3n.cif,KSc3O7,-7.4444,0.456,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Sc2P_Pa-3.cif,Sc2P,-7.0686,0.784,IR / Narrow-Gap,Semiconductor,Pa-3,205,12
KSc3N7_Pm-3n.cif,KSc3N7,-7.0102,0.482,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Sc3Se4_I-43d.cif,Sc3Se4,-6.3804,0.546,IR / Narrow-Gap,Semiconductor,I-43d,220,28
LiTi4As(SO)3_P-6m2.cif,LiTi4As(SO)3,-6.7439,0.629,IR / Narrow-Gap,Semiconductor,P-6m2,187,12
Sc3SnTe4_Pm-3m.cif,Sc3SnTe4,-5.5565,0.503,IR / Narrow-Gap,Semiconductor,Pm-3m,221,8
BaIn3N7_Pm-3n.cif,BaIn3N7,-5.1093,0.815,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Na4Cd(GaO2)3_Im-3m.cif,Na4Cd(GaO2)3,-4.7053,0.847,IR / Narrow-Gap,Semiconductor,Im-3m,229,28
K2(SnO2)3_P6_3mmc.cif,K2(SnO2)3,-5.5917,0.466,IR / Narrow-Gap,Semiconductor,P6_3/mmc,194,22
CaZn3C4O3_Pm-3n.cif,CaZn3C4O3,-4.1674,0.672,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Sc3ZnO4_Pm-3m.cif,Sc3ZnO4,-7.8129,1.191,Solar / Visible,Semiconductor,Pm-3m,221,8
P3C(N3O)3_P6_3.cif,P3C(N3O)3,-7.1651,1.137,Solar / Visible,Semiconductor,P6_3,173,32
SbO2_Pa-3.cif,SbO2,-6.0928,1.404,Solar / Visible,Semiconductor,Pa-3,205,12
ScGa3O7_Pm-3n.cif,ScGa3O7,-5.716,1.329,Solar / Visible,Semiconductor,Pm-3n,223,22
CaGa3O7_Pm-3n.cif,CaGa3O7,-5.3577,1.354,Solar / Visible,Semiconductor,Pm-3n,223,22
SrAl3O16_Im-3.cif,SrAl3O16,-5.2973,1.422,Solar / Visible,Semiconductor,Im-3,204,40
GaO3_Im-3m.cif,GaO3,-5.1536,1.466,Solar / Visible,Semiconductor,Im-3m,229,8
BP2_F-43m.cif,BP2,-4.8084,1.102,Solar / Visible,Semiconductor,F-43m,216,12
K4Mg3SbO6_Im-3m.cif,K4Mg3SbO6,-4.7227,1.598,Solar / Visible,Semiconductor,Im-3m,229,28
SrInO8_Fm-3m.cif,SrInO8,-4.7073,1.384,Solar / Visible,Semiconductor,Fm-3m,225,40
BaSnO6_P6_322.cif,BaSnO6,-5.6795,1.201,Solar / Visible,Semiconductor,P6_322,182,16
Ca3Se4_I-43d.cif,Ca3Se4,-4.6764,1.013,Solar / Visible,Semiconductor,I-43d,220,28
Si3Se4_I-43d.cif,Si3Se4,-4.6603,1.75,Solar / Visible,Semiconductor,I-43d,220,28
In2(CO)3_Pn-3m.cif,In2(CO)3,-4.4815,1.167,Solar / Visible,Semiconductor,Pn-3m,224,16
BaInO6_P6_322.cif,BaInO6,-5.4254,1.601,Solar / Visible,Semiconductor,P6_322,182,16
Ti6GeO12_Im-3.cif,Ti6GeO12,-8.6507,2.056,Solar / Visible,Semiconductor,Im-3,204,38
TiS_Pm-3m.cif,TiS,-6.9365,2.151,Wide-Gap Power/LED,Semiconductor,Pm-3m,221,24
Ca3MgNO3_Pm-3m.cif,Ca3MgNO3,-6.2438,2.222,Wide-Gap Power/LED,Semiconductor,Pm-3m,221,8
SrBN2_P6_222.cif,SrBN2,-6.862,2.941,Wide-Gap Power/LED,Semiconductor,P6_222,180,12
BaN2_P6mmm.cif,BaN2,-6.7398,2.075,Solar / Visible,Semiconductor,P6/mmm,191,9
BaBN2_P6_222.cif,BaBN2,-6.5868,2.379,Wide-Gap Power/LED,Semiconductor,P6_222,180,12
Na3Be4BN12_I432.cif,Na3Be4BN12,-5.5662,2.115,Solar / Visible,Semiconductor,I432,211,40
Cd(GaO2)6_Im-3.cif,Cd(GaO2)6,-5.5292,2.112,Solar / Visible,Semiconductor,Im-3,204,38
Li4CaO6_Im-3m.cif,Li4CaO6,-5.0214,2.447,Wide-Gap Power/LED,Semiconductor,Im-3m,229,22
Ba2S3_Pn-3m.cif,Ba2S3,-4.9047,2.058,Solar / Visible,Semiconductor,Pn-3m,224,10
