file_name,formula,energy,bandgap,Application_Class,type,space_group_symbol,space_group_number,num_atoms
TiO2_id1620_Final_E-9.32.cif,TiO2,-9.3198,1.666,Solar / Visible,Semiconductor,Pcca,54,24
Ti2N2O3_id1284_Final_E-8.74.cif,Ti2N2O3,-8.7379,1.391,Solar / Visible,Semiconductor,P1,1,21
TiN3_id4774_Final_E-8.71.cif,TiN3,-8.7137,0.741,IR / Narrow-Gap,Semiconductor,Cc,9,32
Ti6GeO12_id3181_Final_E-8.65.cif,Ti6GeO12,-8.6507,2.056,Solar / Visible,Semiconductor,Im-3,204,38
Ti2N15_id4140_Final_E-8.52.cif,Ti2N15,-8.5221,0.881,IR / Narrow-Gap,Semiconductor,P-1,2,34
C_id1257_Final_E-8.34.cif,C,-8.3424,0.29,IR / Narrow-Gap,Semiconductor,C2/c,15,60
ScN4_id2605_Final_E-8.18.cif,ScN4,-8.1817,2.838,Wide-Gap Power/LED,Semiconductor,C2/c,15,20
CaC2NO2_id686_Final_E-8.00.cif,CaC2NO2,-7.9951,2.366,Wide-Gap Power/LED,Semiconductor,Pnma,62,24
LiTiN2O_id3427_Final_E-7.87.cif,LiTiN2O,-7.8673,1.774,Solar / Visible,Semiconductor,P1,1,20
TiPO2_id228_Final_E-7.86.cif,TiPO2,-7.8618,0.631,IR / Narrow-Gap,Semiconductor,Pbca,61,32
Sc3ZnO4_id4739_Final_E-7.81.cif,Sc3ZnO4,-7.8129,1.191,Solar / Visible,Semiconductor,Pm-3m,221,8
Ca(SiO2)4_id3268_Final_E-7.77.cif,Ca(SiO2)4,-7.7711,0.363,IR / Narrow-Gap,Semiconductor,P-42_1c,114,26
Ti3Zn(GeO4)3_id1034_Final_E-7.59.cif,Ti3Zn(GeO4)3,-7.5921,1.441,Solar / Visible,Semiconductor,P1,1,19
C2N5_id372_Final_E-7.46.cif,C2N5,-7.464,1.07,Solar / Visible,Semiconductor,Pbcn,60,28
KSc3O7_id4652_Final_E-7.44.cif,KSc3O7,-7.4444,0.456,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Ti5Sn2O5_id272_Final_E-7.43.cif,Ti5Sn2O5,-7.4255,0.789,IR / Narrow-Gap,Semiconductor,P-1,2,24
