file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms,Application_Class
Ti3O7_id1090_Final_E-8.49.cif,Ti3O7,-8.4865,0.45,Semiconductor,P1,1,20,IR / Narrow-Gap
CaN30_id761_Final_E-8.25.cif,CaN30,-8.2541,0.929,Semiconductor,P3,143,93,IR / Narrow-Gap
Ti2C7_id2655_Final_E-8.24.cif,Ti2C7,-8.2416,1.719,Semiconductor,C2,5,36,Solar / Visible
Li2Ti2O5_id2311_Final_E-7.93.cif,Li2Ti2O5,-7.933,2.906,Semiconductor,Pbcn,60,36,Wide-Gap Power/LED
MgN14_id1582_Final_E-7.87.cif,MgN14,-7.8743,1.341,Semiconductor,Cc,9,60,Solar / Visible
SrN10_id1581_Final_E-7.86.cif,SrN10,-7.8577,2.23,Semiconductor,Fdd2,43,44,Wide-Gap Power/LED
Sc3GeN_id866_Final_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5,IR / Narrow-Gap
Sc2GaSiO4_id2705_Final_E-7.71.cif,Sc2GaSiO4,-7.7082,3.459,Semiconductor,Ccc2,37,16,Wide-Gap Power/LED
Ba(N4O)3_id2670_Final_E-7.66.cif,Ba(N4O)3,-7.6625,2.964,Semiconductor,P-1,2,32,Wide-Gap Power/LED
Ti3(SnO)2_id3279_Final_E-7.40.cif,Ti3(SnO)2,-7.403,0.343,Semiconductor,P4/mnc,128,28,IR / Narrow-Gap
SrGa(SiO3)2_id1687_Final_E-7.31.cif,SrGa(SiO3)2,-7.3095,2.774,Semiconductor,P1,1,10,Wide-Gap Power/LED
NaCaSc2O6_id741_Final_E-7.28.cif,NaCaSc2O6,-7.2819,3.108,Semiconductor,P1,1,10,Wide-Gap Power/LED
AlN_id2713_Final_E-7.22.cif,AlN,-7.2236,3.087,Semiconductor,Fmm2,42,16,Wide-Gap Power/LED
N2O_id759_Final_E-7.19.cif,N2O,-7.1944,0.987,Semiconductor,P2_1,4,12,IR / Narrow-Gap
Ti2B7_id3116_Final_E-7.14.cif,Ti2B7,-7.1411,1.448,Semiconductor,C222_1,20,36,Solar / Visible
LiTiN_id1437_Final_E-7.13.cif,LiTiN,-7.1331,1.48,Semiconductor,P2_12_12_1,19,12,Solar / Visible
TiSeO3_id842_Final_E-7.12.cif,TiSeO3,-7.1246,1.793,Semiconductor,P6_3mc,186,10,Solar / Visible
TiGaO_id2817_Final_E-7.08.cif,TiGaO,-7.082,0.893,Semiconductor,P2_1/c,14,24,IR / Narrow-Gap
Al2C2O3_id359_Final_E-7.05.cif,Al2C2O3,-7.0459,0.295,Semiconductor,Pbcn,60,28,IR / Narrow-Gap
Ca2N5_id2630_Final_E-7.03.cif,Ca2N5,-7.0287,0.453,Semiconductor,Pccn,56,28,IR / Narrow-Gap
B2PC8_id2556_Final_E-6.99.cif,B2PC8,-6.9866,2.41,Semiconductor,C2,5,22,Wide-Gap Power/LED
TiS_id3172_Final_E-6.94.cif,TiS,-6.9365,2.151,Semiconductor,Pm-3m,221,24,Wide-Gap Power/LED
InCO4_id1566_Final_E-6.71.cif,InCO4,-6.7136,3.02,Semiconductor,I4_1/a,88,24,Wide-Gap Power/LED
Ge2O3_id247_Final_E-6.61.cif,Ge2O3,-6.6057,0.556,Semiconductor,P2_1/c,14,20,IR / Narrow-Gap
NO_id3379_Final_E-6.61.cif,NO,-6.6051,2.183,Semiconductor,Pbca,61,16,Wide-Gap Power/LED
Mg5N12_id2310_Final_E-6.60.cif,Mg5N12,-6.6024,1.504,Semiconductor,P-42_1c,114,34,Solar / Visible
Ti7GaO6_id1510_Final_E-6.59.cif,Ti7GaO6,-6.5927,1.491,Semiconductor,P1,1,56,Solar / Visible
Ca2Si2C15_id2917_Final_E-6.57.cif,Ca2Si2C15,-6.5678,0.903,Semiconductor,P1,1,57,IR / Narrow-Gap
MgN2_id2298_Final_E-6.51.cif,MgN2,-6.5083,2.782,Semiconductor,P-6m2,187,3,Wide-Gap Power/LED
TiB5C14N_id3134_Final_E-6.49.cif,TiB5C14N,-6.4936,0.673,Semiconductor,P2_12_12_1,19,84,IR / Narrow-Gap
AlB3PO16_id1635_Final_E-6.48.cif,AlB3PO16,-6.4836,0.569,Semiconductor,P2_1,4,42,IR / Narrow-Gap
NaLi2TiO4_id1572_Final_E-6.42.cif,NaLi2TiO4,-6.4222,2.594,Semiconductor,Pnn2,34,16,Wide-Gap Power/LED
Sc3Se4_id2748_Final_E-6.38.cif,Sc3Se4,-6.3804,0.546,Semiconductor,I-43d,220,28,IR / Narrow-Gap
GeO2_id345_Final_E-6.30.cif,GeO2,-6.2981,1.04,Semiconductor,P4/nnc,126,24,Solar / Visible
Ca3MgNO3_id893_Final_E-6.24.cif,Ca3MgNO3,-6.2438,2.222,Semiconductor,Pm-3m,221,8,Wide-Gap Power/LED
BeC_id763_Final_E-6.18.cif,BeC,-6.1842,0.57,Semiconductor,Pbca,61,16,IR / Narrow-Gap
Ti2Be2B_id2089_Final_E-6.14.cif,Ti2Be2B,-6.1396,2.011,Semiconductor,P6_422,181,15,Wide-Gap Power/LED
Ti11Zn2_id361_Final_E-6.09.cif,Ti11Zn2,-6.0924,0.318,Semiconductor,P1,1,26,IR / Narrow-Gap
Sc4GeSe3_id383_Final_E-6.09.cif,Sc4GeSe3,-6.0888,0.421,Semiconductor,P2_1/c,14,16,IR / Narrow-Gap
BeSbCN_id2793_Final_E-6.09.cif,BeSbCN,-6.0877,0.373,Semiconductor,Pca2_1,29,16,IR / Narrow-Gap
ZnCd(S2N3)4_id2737_Final_E-6.07.cif,ZnCd(S2N3)4,-6.0712,0.362,Semiconductor,P-1,2,66,IR / Narrow-Gap
Sc3B4_id629_Final_E-6.07.cif,Sc3B4,-6.0666,0.051,Semiconductor,P4_2/nnm,134,28,IR / Narrow-Gap
TiO6_id2542_Final_E-6.05.cif,TiO6,-6.0537,1.695,Semiconductor,P-1,2,7,Solar / Visible
Ba2LiPO5_id3151_Final_E-6.02.cif,Ba2LiPO5,-6.0169,1.997,Semiconductor,Cmcm,63,36,Solar / Visible
CaSn2(GeO2)2_id2709_Final_E-6.01.cif,CaSn2(GeO2)2,-6.0109,0.905,Semiconductor,P4_2/m,84,18,IR / Narrow-Gap
AlNO_id3146_Final_E-6.00.cif,AlNO,-6.0043,2.574,Semiconductor,Pca2_1,29,12,Wide-Gap Power/LED
GeSbNO2_id2378_Final_E-5.99.cif,GeSbNO2,-5.9914,0.885,Semiconductor,Pca2_1,29,20,IR / Narrow-Gap
CaInP2O9_id2574_Final_E-5.98.cif,CaInP2O9,-5.9754,1.662,Semiconductor,P1,1,52,Solar / Visible
SrO_id2868_Final_E-5.97.cif,SrO,-5.9724,0.052,Semiconductor,P4_2/mmc,131,4,IR / Narrow-Gap
BaInGaO3_id3354_Final_E-5.93.cif,BaInGaO3,-5.9262,1.095,Semiconductor,Pcc2,27,24,Solar / Visible
ZnBO4_id1311_Final_E-5.93.cif,ZnBO4,-5.9257,3.094,Semiconductor,Ccc2,37,24,Wide-Gap Power/LED
N2O5_id2950_Final_E-5.88.cif,N2O5,-5.8807,0.897,Semiconductor,P1,1,56,IR / Narrow-Gap
BaCaO4_id1287_Final_E-5.83.cif,BaCaO4,-5.8283,2.169,Semiconductor,Pban,50,12,Wide-Gap Power/LED
Ga(GeO2)2_id1277_Final_E-5.83.cif,Ga(GeO2)2,-5.8283,0.49,Semiconductor,P1,1,28,IR / Narrow-Gap
N2O3_id2019_Final_E-5.81.cif,N2O3,-5.8143,0.729,Semiconductor,Pccn,56,20,IR / Narrow-Gap
K3Ti2(Ga3O5)2_id311_Final_E-5.81.cif,K3Ti2(Ga3O5)2,-5.8064,1.892,Semiconductor,P1,1,63,Solar / Visible
Ca2TiSN2_id413_Final_E-5.79.cif,Ca2TiSN2,-5.7879,1.816,Semiconductor,C2,5,24,Solar / Visible
PO3_id393_Final_E-5.75.cif,PO3,-5.7536,0.257,Semiconductor,P-62m,189,12,IR / Narrow-Gap
Ge(B2N)2_id731_Final_E-5.75.cif,Ge(B2N)2,-5.7529,1.935,Semiconductor,P1,1,14,Solar / Visible
B(AsN)12_id933_Final_E-5.75.cif,B(AsN)12,-5.747,2.325,Semiconductor,I432,211,50,Wide-Gap Power/LED
Ge3PO2_id3118_Final_E-5.68.cif,Ge3PO2,-5.6754,1.155,Semiconductor,Pc,7,12,Solar / Visible
NaGeO2_id1660_Final_E-5.64.cif,NaGeO2,-5.639,1.798,Semiconductor,I4_122,98,16,Solar / Visible
NaAl(C3O2)2_id2570_Final_E-5.63.cif,NaAl(C3O2)2,-5.6272,1.56,Semiconductor,P222,16,24,Solar / Visible
LiGaP2O13_id2782_Final_E-5.62.cif,LiGaP2O13,-5.6166,1.636,Semiconductor,P1,1,34,Solar / Visible
Si3(B2P)2_id2161_Final_E-5.61.cif,Si3(B2P)2,-5.6136,0.092,Semiconductor,P1,1,18,IR / Narrow-Gap
BaNO_id3332_Final_E-5.60.cif,BaNO,-5.5963,1.008,Semiconductor,P4_2/mmc,131,6,Solar / Visible
K2(SnO2)3_id2820_Final_E-5.59.cif,K2(SnO2)3,-5.5917,0.466,Semiconductor,P6_3/mmc,194,22,IR / Narrow-Gap
Li2As2N2O_id813_Final_E-5.58.cif,Li2As2N2O,-5.5787,1.795,Semiconductor,P2_1/c,14,28,Solar / Visible
KZn2BO4_id1310_Final_E-5.58.cif,KZn2BO4,-5.5756,2.478,Semiconductor,P1,1,24,Wide-Gap Power/LED
P3NO5_id126_Final_E-5.56.cif,P3NO5,-5.56,1.88,Semiconductor,P1,1,36,Solar / Visible
Sc3SnTe4_id2764_Final_E-5.56.cif,Sc3SnTe4,-5.5565,0.503,Semiconductor,Pm-3m,221,8,IR / Narrow-Gap
MgO2_id1179_Final_E-5.56.cif,MgO2,-5.5552,2.776,Semiconductor,Pbca,61,12,Wide-Gap Power/LED
Ba2Ti3S4_id75_Final_E-5.50.cif,Ba2Ti3S4,-5.4991,1.354,Semiconductor,I4/mmm,139,36,Solar / Visible
Li2Mg(AsO3)2_id958_Final_E-5.49.cif,Li2Mg(AsO3)2,-5.4885,1.761,Semiconductor,P4/mnc,128,44,Solar / Visible
Li7BSb2O11_id283_Final_E-5.49.cif,Li7BSb2O11,-5.4882,3.352,Semiconductor,P1,1,84,Wide-Gap Power/LED
ScGa3(AsO2)6_id2885_Final_E-5.47.cif,ScGa3(AsO2)6,-5.4747,1.335,Semiconductor,P6_3,173,44,Solar / Visible
MgGaN2_id1828_Final_E-5.43.cif,MgGaN2,-5.4283,1.809,Semiconductor,P4/mmm,123,8,Solar / Visible
ScTeS2_id2035_Final_E-5.43.cif,ScTeS2,-5.426,0.259,Semiconductor,P1,1,4,IR / Narrow-Gap
SiGe6O23_id3247_Final_E-5.42.cif,SiGe6O23,-5.4204,2.32,Semiconductor,P1,1,30,Wide-Gap Power/LED
MgSc3O18_id1067_Final_E-5.40.cif,MgSc3O18,-5.4015,1.533,Semiconductor,P1,1,44,Solar / Visible
Sr2CSO_id1998_Final_E-5.40.cif,Sr2CSO,-5.4009,2.004,Semiconductor,P1,1,5,Wide-Gap Power/LED
KIn(TeO3)4_id2069_Final_E-5.38.cif,KIn(TeO3)4,-5.3815,2.432,Semiconductor,P-1,2,36,Wide-Gap Power/LED
Ba4LiIn3O6_id1476_Final_E-5.36.cif,Ba4LiIn3O6,-5.3621,0.351,Semiconductor,Im-3m,229,28,IR / Narrow-Gap
Ti(InS2)2_id3364_Final_E-5.36.cif,Ti(InS2)2,-5.3595,0.308,Semiconductor,Pban,50,14,IR / Narrow-Gap
B2As2S3_id2138_Final_E-5.35.cif,B2As2S3,-5.3497,1.712,Semiconductor,P4_2mc,105,14,Solar / Visible
NaIn(SO4)3_id1773_Final_E-5.33.cif,NaIn(SO4)3,-5.3286,0.708,Semiconductor,P1,1,34,IR / Narrow-Gap
TiO2_id269_Final_E-5.30.cif,TiO2,-5.302,2.201,Semiconductor,Pm,6,12,Wide-Gap Power/LED
Mg2Ti2CO2_id474_Final_E-5.30.cif,Mg2Ti2CO2,-5.3015,1.645,Semiconductor,P1,1,28,Solar / Visible
MgN_id873_Final_E-5.30.cif,MgN,-5.3014,0.313,Semiconductor,Cm,8,8,IR / Narrow-Gap
GaO_id1406_Final_E-5.25.cif,GaO,-5.2507,1.81,Semiconductor,P4_2/ncm,138,8,Solar / Visible
ScSiO19_id990_Final_E-5.23.cif,ScSiO19,-5.2318,2.276,Semiconductor,P1,1,42,Wide-Gap Power/LED
CaZn5(GaO2)6_id1896_Final_E-5.22.cif,CaZn5(GaO2)6,-5.2238,1.057,Semiconductor,P1,1,24,Solar / Visible
KAlZn2O6_id2493_Final_E-5.21.cif,KAlZn2O6,-5.2096,2.665,Semiconductor,P1,1,10,Wide-Gap Power/LED
BaN20_id2964_Final_E-5.21.cif,BaN20,-5.206,1.782,Semiconductor,Pm,6,84,Solar / Visible
ScTiO18_id3079_Final_E-5.20.cif,ScTiO18,-5.1952,0.14,Semiconductor,P1,1,40,IR / Narrow-Gap
BaLi4O8_id1616_Final_E-5.19.cif,BaLi4O8,-5.1889,3.197,Semiconductor,P-1,2,26,Wide-Gap Power/LED
K(AsO)2_id3386_Final_E-5.16.cif,K(AsO)2,-5.1634,1.005,Semiconductor,P4/mnc,128,20,Solar / Visible
NaSn5(GeO2)2_id2614_Final_E-5.16.cif,NaSn5(GeO2)2,-5.1566,0.082,Semiconductor,P-4m2,115,12,IR / Narrow-Gap
LiSO_id1782_Final_E-5.14.cif,LiSO,-5.1351,1.871,Semiconductor,P1,1,12,Solar / Visible
MgInO6_id843_Final_E-5.10.cif,MgInO6,-5.1049,1.87,Semiconductor,P-31c,163,16,Solar / Visible
K4Te13O24_id448_Final_E-5.10.cif,K4Te13O24,-5.1042,0.951,Semiconductor,Pn-3n,222,82,IR / Narrow-Gap
LiAsO6_id3323_Final_E-5.10.cif,LiAsO6,-5.0989,3.379,Semiconductor,P6_322,182,16,Wide-Gap Power/LED
Sr3Ca3N4_id2093_Final_E-5.10.cif,Sr3Ca3N4,-5.096,0.094,Semiconductor,P1,1,40,IR / Narrow-Gap
