file_name,original_file,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
TiO2_id1620_Final_E-9.32.cif,TiO2_id1620_E-6.69.cif,TiO2,-9.3198,1.666,Semiconductor,Pcca,54,24
Ti6O7_id1624_Final_E-9.09.cif,Ti6O7_id1624_E-7.77.cif,Ti6O7,-9.0917,0.0,Metal,P-1,2,26
Ti2C3_id2550_Final_E-8.85.cif,Ti2C3_id2550_E-7.92.cif,Ti2C3,-8.8526,0.0,Metal,P4_22_12,94,20
Ti2N2O3_id1284_Final_E-8.74.cif,Ti2N2O3_id1284_E-7.62.cif,Ti2N2O3,-8.7379,1.391,Semiconductor,P1,1,21
TiN3_id4774_Final_E-8.71.cif,TiN3_id4774_E-7.35.cif,TiN3,-8.7137,0.741,Semiconductor,Cc,9,32
Ti3SO3_id1431_Final_E-8.70.cif,Ti3SO3_id1431_E-8.37.cif,Ti3SO3,-8.7041,0.0,Metal,R-3c,167,42
Ti6GeO12_id3181_Final_E-8.65.cif,Ti6GeO12_id3181_E-7.42.cif,Ti6GeO12,-8.6507,2.056,Semiconductor,Im-3,204,38
Ti2N15_id4140_Final_E-8.52.cif,Ti2N15_id4140_E-7.64.cif,Ti2N15,-8.5221,0.881,Semiconductor,P-1,2,34
BaTiO3_id3706_Final_E-8.40.cif,BaTiO3_id3706_E-8.38.cif,BaTiO3,-8.4034,0.01,Metal,Pm-3m,221,40
C_id1257_Final_E-8.34.cif,C_id1257_E-7.29.cif,C,-8.3424,0.29,Semiconductor,C2/c,15,60
Sc4N5_id3478_Final_E-8.19.cif,Sc4N5_id3478_E-7.56.cif,Sc4N5,-8.1898,0.0,Metal,F-43m,216,36
ScN4_id2605_Final_E-8.18.cif,ScN4_id2605_E-7.84.cif,ScN4,-8.1817,2.838,Semiconductor,C2/c,15,20
Sc2BC4_id1080_Final_E-8.15.cif,Sc2BC4_id1080_E-7.31.cif,Sc2BC4,-8.1464,0.0,Metal,P-1,2,14
CaC2NO2_id686_Final_E-8.00.cif,CaC2NO2_id686_E-7.54.cif,CaC2NO2,-7.9951,2.366,Semiconductor,Pnma,62,24
Ti9GaO6_id4084_Final_E-7.92.cif,Ti9GaO6_id4084_E-7.92.cif,Ti9GaO6,-7.9225,0.0,Metal,Pm-3,200,16
LiTiN2O_id3427_Final_E-7.87.cif,LiTiN2O_id3427_E-6.82.cif,LiTiN2O,-7.8673,1.774,Semiconductor,P1,1,20
TiPO2_id228_Final_E-7.86.cif,TiPO2_id228_E-7.72.cif,TiPO2,-7.8618,0.631,Semiconductor,Pbca,61,32
Sc3ZnO4_id4739_Final_E-7.81.cif,Sc3ZnO4_id4739_E-7.81.cif,Sc3ZnO4,-7.8129,1.191,Semiconductor,Pm-3m,221,8
C2N3O5_id3634_Final_E-7.80.cif,C2N3O5_id3634_E-6.88.cif,C2N3O5,-7.8011,4.147,Insulator,C222_1,20,40
ScPN_id2157_Final_E-7.80.cif,ScPN_id2157_E-6.24.cif,ScPN,-7.8001,0.0,Metal,Pc,7,12
Ca(SiO2)4_id3268_Final_E-7.77.cif,Ca(SiO2)4_id3268_E-6.29.cif,Ca(SiO2)4,-7.7711,0.363,Semiconductor,P-42_1c,114,26
