file_name,formula,energy,bandgap,Application_Class,type,space_group_symbol,space_group_number,num_atoms
BaTiO3_id3706_E-8.38.cif,BaTiO3,-8.3803,1.188,Solar / Visible,Semiconductor,Fm-3m,225,40
Ti3SO3_id1431_E-8.37.cif,Ti3SO3,-8.3746,1.26,Solar / Visible,Semiconductor,R-3c,167,42
Ti9GaO6_id4084_E-7.92.cif,Ti9GaO6,-7.9201,0.302,IR / Narrow-Gap,Semiconductor,Pm-3,200,16
Ti2C3_id2550_E-7.92.cif,Ti2C3,-7.9162,1.069,Solar / Visible,Semiconductor,P4_22_12,94,20
ScN4_id2605_E-7.84.cif,ScN4,-7.837,1.006,Solar / Visible,Semiconductor,I4_1/a,88,20
Sc3ZnO4_id4739_E-7.81.cif,Sc3ZnO4,-7.8129,1.147,Solar / Visible,Semiconductor,Pm-3m,221,8
Ti6O7_id1624_E-7.77.cif,Ti6O7,-7.7652,1.835,Solar / Visible,Semiconductor,C2/m,12,26
TiPO2_id228_E-7.72.cif,TiPO2,-7.7207,1.683,Solar / Visible,Semiconductor,Pbca,61,32
Ti2N15_id4140_E-7.64.cif,Ti2N15,-7.6436,0.38,IR / Narrow-Gap,Semiconductor,C2/m,12,34
Ti2N2O3_id1284_E-7.62.cif,Ti2N2O3,-7.6236,1.434,Solar / Visible,Semiconductor,P6_222,180,21
Sc4N5_id3478_E-7.56.cif,Sc4N5,-7.5576,0.805,IR / Narrow-Gap,Semiconductor,F-43m,216,36
CaC2NO2_id686_E-7.54.cif,CaC2NO2,-7.5395,1.731,Solar / Visible,Semiconductor,Pnma,62,24
KSc3O7_id4652_E-7.44.cif,KSc3O7,-7.4444,0.456,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Ti6GeO12_id3181_E-7.42.cif,Ti6GeO12,-7.4167,2.337,Wide-Gap Power/LED,Semiconductor,Im-3,204,38
TiN3_id4774_E-7.35.cif,TiN3,-7.3482,0.294,IR / Narrow-Gap,Semiconductor,Cmcm,63,32
Ti5Sn2O5_id272_E-7.34.cif,Ti5Sn2O5,-7.3362,0.849,IR / Narrow-Gap,Semiconductor,P4/mnc,128,24
Sc2BC4_id1080_E-7.31.cif,Sc2BC4,-7.3106,2.233,Wide-Gap Power/LED,Semiconductor,P2_1/m,11,14
C_id1257_E-7.29.cif,C,-7.2931,0.435,IR / Narrow-Gap,Semiconductor,C2/c,15,60
Sc5O4_id403_E-7.17.cif,Sc5O4,-7.1687,1.257,Solar / Visible,Semiconductor,P4_2/n,86,18
C2N5_id372_E-7.14.cif,C2N5,-7.1415,2.55,Wide-Gap Power/LED,Semiconductor,Pbcn,60,28
KSc3N7_id4195_E-7.01.cif,KSc3N7,-7.0102,0.482,IR / Narrow-Gap,Semiconductor,Pm-3n,223,22
Ti3O10_id3682_E-6.99.cif,Ti3O10,-6.993,0.741,IR / Narrow-Gap,Semiconductor,P31c,159,26
ZnN8_id49_E-6.91.cif,ZnN8,-6.9054,1.505,Solar / Visible,Semiconductor,Ccce,68,36
C2N3O5_id3634_E-6.88.cif,C2N3O5,-6.8784,1.796,Solar / Visible,Semiconductor,C222_1,20,40
Sc2P_id1371_E-6.86.cif,Sc2P,-6.8644,0.652,IR / Narrow-Gap,Semiconductor,Pa-3,205,12
Sc2Ti2Ga2O5_id3_E-6.86.cif,Sc2Ti2Ga2O5,-6.8571,0.124,IR / Narrow-Gap,Semiconductor,P321,150,33
Sc3AlGa3N8_id2978_E-6.85.cif,Sc3AlGa3N8,-6.8483,0.17,IR / Narrow-Gap,Semiconductor,Pm-3m,221,15
LiTiN2O_id3427_E-6.82.cif,LiTiN2O,-6.824,1.956,Solar / Visible,Semiconductor,C2/m,12,20
MgTi3O5_id3516_E-6.76.cif,MgTi3O5,-6.7552,1.579,Solar / Visible,Semiconductor,Cccm,66,36
TiO2_id1620_E-6.69.cif,TiO2,-6.6927,1.01,Solar / Visible,Semiconductor,Pcca,54,24
InN4_id1482_E-6.69.cif,InN4,-6.6888,0.82,IR / Narrow-Gap,Semiconductor,Ccce,68,20
Sc2NO5_id3840_E-6.68.cif,Sc2NO5,-6.6809,0.094,IR / Narrow-Gap,Semiconductor,I4_122,98,32
SrBN2_id1247_E-6.64.cif,SrBN2,-6.6374,1.858,Solar / Visible,Semiconductor,P6_222,180,12
Sc5C2_id345_E-6.60.cif,Sc5C2,-6.5979,1.546,Solar / Visible,Semiconductor,P4_22_12,94,28
Al2C7_id4879_E-6.59.cif,Al2C7,-6.5918,0.357,IR / Narrow-Gap,Semiconductor,Cmce,64,36
AsPCNO2_id3195_E-6.43.cif,AsPCNO2,-6.428,2.64,Wide-Gap Power/LED,Semiconductor,C222_1,20,48
TiCdO4_id3902_E-6.42.cif,TiCdO4,-6.4217,0.822,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
Ca2Ti(NO)2_id624_E-6.40.cif,Ca2Ti(NO)2,-6.4047,1.411,Solar / Visible,Semiconductor,Cmce,64,28
Ca4GaO6_id1810_E-6.40.cif,Ca4GaO6,-6.3981,1.061,Solar / Visible,Semiconductor,Im-3m,229,22
Sc5N2O_id1302_E-6.37.cif,Sc5N2O,-6.3731,0.537,IR / Narrow-Gap,Semiconductor,Pn-3m,224,16
KTi4Te3O4_id4010_E-6.37.cif,KTi4Te3O4,-6.3662,0.467,IR / Narrow-Gap,Semiconductor,I4_1/a,88,48
Ca(SiO2)4_id3268_E-6.29.cif,Ca(SiO2)4,-6.2858,1.607,Solar / Visible,Semiconductor,P-42_1c,114,26
ScGa3O4_id1667_E-6.28.cif,ScGa3O4,-6.2827,1.065,Solar / Visible,Semiconductor,P-6,174,8
Ca4N9_id166_E-6.26.cif,Ca4N9,-6.2589,0.289,IR / Narrow-Gap,Semiconductor,I4/m,87,26
ScPN_id2157_E-6.24.cif,ScPN,-6.2391,0.488,IR / Narrow-Gap,Semiconductor,Pca2_1,29,12
Sc2GaN_id2232_E-6.23.cif,Sc2GaN,-6.2294,0.45,IR / Narrow-Gap,Semiconductor,I4_122,98,16
MgTiO6_id3948_E-6.23.cif,MgTiO6,-6.2287,2.482,Wide-Gap Power/LED,Semiconductor,P-31c,163,16
Sr2TiPO2_id3092_E-6.22.cif,Sr2TiPO2,-6.223,0.929,IR / Narrow-Gap,Semiconductor,P3_221,154,18
K2Ti3O6_id1770_E-6.20.cif,K2Ti3O6,-6.1962,0.469,IR / Narrow-Gap,Semiconductor,Im-3,204,44
BaCaTi2(PO)2_id288_E-6.14.cif,BaCaTi2(PO)2,-6.1449,1.036,Solar / Visible,Semiconductor,P-3m1,164,8
ScCdO4_id1141_E-6.14.cif,ScCdO4,-6.141,0.285,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
BaPN2_id736_E-6.12.cif,BaPN2,-6.1185,1.345,Solar / Visible,Semiconductor,I4_122,98,16
Ca2Si2C17S2(N2O)2_id3958_E-6.06.cif,Ca2Si2C17S2(N2O)2,-6.0558,0.979,IR / Narrow-Gap,Semiconductor,P2/c,13,58
BaBN2_id2382_E-6.04.cif,BaBN2,-6.0355,2.05,Solar / Visible,Semiconductor,P6_222,180,12
ZnIn(N4O3)3_id484_E-6.02.cif,ZnIn(N4O3)3,-6.0218,2.166,Solar / Visible,Semiconductor,P6_322,182,46
Li2Be(N3O)2_id2105_E-6.01.cif,Li2Be(N3O)2,-6.0137,2.598,Wide-Gap Power/LED,Semiconductor,Pbcn,60,44
KScGaO6_id3451_E-5.97.cif,KScGaO6,-5.9653,3.494,Wide-Gap Power/LED,Semiconductor,P-31c,163,18
Ge3N3O_id1218_E-5.96.cif,Ge3N3O,-5.9599,1.318,Solar / Visible,Semiconductor,P6_3mc,186,14
Ca2TiO6_id401_E-5.93.cif,Ca2TiO6,-5.9339,1.87,Solar / Visible,Semiconductor,Cmce,64,36
Ti2Si7_id1510_E-5.92.cif,Ti2Si7,-5.9241,0.344,IR / Narrow-Gap,Semiconductor,Immm,71,18
As2SeN4_id4118_E-5.92.cif,As2SeN4,-5.9189,1.527,Solar / Visible,Semiconductor,Pbcn,60,28
TiP6N_id1868_E-5.90.cif,TiP6N,-5.9048,1.05,Solar / Visible,Semiconductor,R-3,148,48
SeN_id173_E-5.90.cif,SeN,-5.8989,1.354,Solar / Visible,Semiconductor,P4/m,83,8
LiGeO2_id3932_E-5.88.cif,LiGeO2,-5.8822,3.239,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
BaSbO4_id1182_E-5.85.cif,BaSbO4,-5.8543,0.342,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
LiGeO2_id3436_E-5.83.cif,LiGeO2,-5.834,2.551,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
Ti(GaO)4_id4003_E-5.82.cif,Ti(GaO)4,-5.8175,0.266,IR / Narrow-Gap,Semiconductor,P-43m,215,9
KMgScO6_id3869_E-5.81.cif,KMgScO6,-5.8148,1.019,Solar / Visible,Semiconductor,P-31c,163,18
Al2SnB2O5_id1937_E-5.79.cif,Al2SnB2O5,-5.7886,1.721,Solar / Visible,Semiconductor,C2/c,15,40
GaSiO2_id4361_E-5.79.cif,GaSiO2,-5.7881,2.788,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
AsO3_id2126_E-5.78.cif,AsO3,-5.7816,2.482,Wide-Gap Power/LED,Semiconductor,R-3c,167,24
TiSeSN_id3126_E-5.78.cif,TiSeSN,-5.7779,0.711,IR / Narrow-Gap,Semiconductor,P6_522,179,24
Ti4O15_id1212_E-5.78.cif,Ti4O15,-5.7766,1.837,Solar / Visible,Semiconductor,P4/n,85,38
NaMgScO6_id706_E-5.76.cif,NaMgScO6,-5.7642,2.558,Wide-Gap Power/LED,Semiconductor,P-31c,163,18
SrCa2O4_id2386_E-5.75.cif,SrCa2O4,-5.7493,0.269,IR / Narrow-Gap,Semiconductor,Pban,50,14
LiGeO2_id258_E-5.75.cif,LiGeO2,-5.7492,2.88,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
Sc3B2_id4874_E-5.74.cif,Sc3B2,-5.7365,1.494,Solar / Visible,Semiconductor,I23,197,60
BaGe3O8_id2290_E-5.73.cif,BaGe3O8,-5.734,2.28,Wide-Gap Power/LED,Semiconductor,I222,23,24
SrSnGeO3_id2810_E-5.73.cif,SrSnGeO3,-5.7338,1.446,Solar / Visible,Semiconductor,P-6m2,187,6
BeO2_id37_E-5.72.cif,BeO2,-5.7204,3.126,Wide-Gap Power/LED,Semiconductor,Pbca,61,24
Ba2NaTi2O3_id843_E-5.72.cif,Ba2NaTi2O3,-5.7153,2.283,Wide-Gap Power/LED,Semiconductor,I4_122,98,32
NaTiO4_id817_E-5.71.cif,NaTiO4,-5.7122,0.983,IR / Narrow-Gap,Semiconductor,I-42m,121,24
Ca3CNO3_id1304_E-5.71.cif,Ca3CNO3,-5.7096,2.504,Wide-Gap Power/LED,Semiconductor,R32,155,24
LiAsO2_id4071_E-5.69.cif,LiAsO2,-5.6892,2.572,Wide-Gap Power/LED,Semiconductor,I4_122,98,16
SrCaO4_id163_E-5.66.cif,SrCaO4,-5.6556,0.86,IR / Narrow-Gap,Semiconductor,P4/nbm,125,12
KLi3(SnO3)4_id670_E-5.66.cif,KLi3(SnO3)4,-5.6554,0.481,IR / Narrow-Gap,Semiconductor,Im-3,204,40
CaAl(Si3O2)2_id1118_E-5.65.cif,CaAl(Si3O2)2,-5.6525,2.605,Wide-Gap Power/LED,Semiconductor,I-42m,121,24
SrCaO4_id2752_E-5.65.cif,SrCaO4,-5.6517,1.864,Solar / Visible,Semiconductor,P4/nbm,125,12
KNa2C2NO2_id738_E-5.65.cif,KNa2C2NO2,-5.6459,0.646,IR / Narrow-Gap,Semiconductor,Aea2,41,32
Mg3InO4_id252_E-5.64.cif,Mg3InO4,-5.6386,0.075,IR / Narrow-Gap,Semiconductor,Pm-3n,223,16
Si4O11_id565_E-5.60.cif,Si4O11,-5.6015,1.402,Solar / Visible,Semiconductor,Pba2,32,30
SrCaO4_id3030_E-5.59.cif,SrCaO4,-5.5946,3.289,Wide-Gap Power/LED,Semiconductor,P4/nbm,125,12
