Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
BEFORE,Ti3O7,-5.3596,0.53,Semiconductor,P6_3mc,,,Ti3O7_id1090_E-5.36.cif
AFTER,Ti3O7,-8.4865,0.45,Semiconductor,P1,-3.1269,-0.080,Ti3O7_id1090_Final_E-8.49.cif
,,,,,,,,
BEFORE,Sc2SiO4,-7.3718,3.377,Semiconductor,P2/c,,,Sc2SiO4_id2464_E-7.37.cif
AFTER,Sc2SiO4,-8.267,3.661,Insulator,P2/c,-0.8952,0.284,Sc2SiO4_id2464_Final_E-8.27.cif
,,,,,,,,
BEFORE,CaN30,-6.9506,1.92,Semiconductor,R-3,,,CaN30_id761_E-6.95.cif
AFTER,CaN30,-8.2541,0.929,Semiconductor,P3,-1.3035,-0.991,CaN30_id761_Final_E-8.25.cif
,,,,,,,,
BEFORE,Ti2C7,-6.6575,0.29,Semiconductor,P4_2/nbc,,,Ti2C7_id2655_E-6.66.cif
AFTER,Ti2C7,-8.2416,1.719,Semiconductor,C2,-1.5841,1.429,Ti2C7_id2655_Final_E-8.24.cif
,,,,,,,,
BEFORE,Sc2SbO2,-5.6026,0.289,Semiconductor,Pa-3,,,Sc2SbO2_id2959_E-5.60.cif
AFTER,Sc2SbO2,-8.2151,0.0,Metal,Pbca,-2.6125,-0.289,Sc2SbO2_id2959_Final_E-8.22.cif
,,,,,,,,
BEFORE,ScN2,-7.7044,0.065,Semiconductor,Pca2_1,,,ScN2_id1980_E-7.70.cif
AFTER,ScN2,-8.1252,0.013,Metal,Pca2_1,-0.4208,-0.052,ScN2_id1980_Final_E-8.13.cif
,,,,,,,,
BEFORE,Li2Ti2O5,-6.8023,2.583,Semiconductor,Pbcn,,,Li2Ti2O5_id2311_E-6.80.cif
AFTER,Li2Ti2O5,-7.933,2.906,Semiconductor,Pbcn,-1.1307,0.323,Li2Ti2O5_id2311_Final_E-7.93.cif
,,,,,,,,
BEFORE,MgN14,-6.8823,1.592,Semiconductor,Cc,,,MgN14_id1582_E-6.88.cif
AFTER,MgN14,-7.8743,1.341,Semiconductor,Cc,-0.9920,-0.251,MgN14_id1582_Final_E-7.87.cif
,,,,,,,,
BEFORE,SrN10,-6.9969,0.324,Semiconductor,I-42d,,,SrN10_id1581_E-7.00.cif
AFTER,SrN10,-7.8577,2.23,Semiconductor,Fdd2,-0.8608,1.906,SrN10_id1581_Final_E-7.86.cif
,,,,,,,,
