file_name,original_file,formula,energy,bandgap,type,space_group
Ti3O7_id1090_Final_E-8.49.cif,Ti3O7_id1090_E-5.36.cif,Ti3O7,-8.4865,0.45,Semiconductor,P1
Sc2SiO4_id2464_Final_E-8.27.cif,Sc2SiO4_id2464_E-7.37.cif,Sc2SiO4,-8.267,3.661,Insulator,P2/c
CaN30_id761_Final_E-8.25.cif,CaN30_id761_E-6.95.cif,CaN30,-8.2541,0.929,Semiconductor,P3
Ti2C7_id2655_Final_E-8.24.cif,Ti2C7_id2655_E-6.66.cif,Ti2C7,-8.2416,1.719,Semiconductor,C2
Sc2SbO2_id2959_Final_E-8.22.cif,Sc2SbO2_id2959_E-5.60.cif,Sc2SbO2,-8.2151,0.0,Metal,Pbca
ScN2_id1980_Final_E-8.13.cif,ScN2_id1980_E-7.70.cif,ScN2,-8.1252,0.013,Metal,Pca2_1
Li2Ti2O5_id2311_Final_E-7.93.cif,Li2Ti2O5_id2311_E-6.80.cif,Li2Ti2O5,-7.933,2.906,Semiconductor,Pbcn
MgN14_id1582_Final_E-7.87.cif,MgN14_id1582_E-6.88.cif,MgN14,-7.8743,1.341,Semiconductor,Cc
SrN10_id1581_Final_E-7.86.cif,SrN10_id1581_E-7.00.cif,SrN10,-7.8577,2.23,Semiconductor,Fdd2
Sc3GeN_id866_Final_E-7.75.cif,Sc3GeN_id866_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m
Sc2GaSiO4_id2705_Final_E-7.71.cif,Sc2GaSiO4_id2705_E-4.82.cif,Sc2GaSiO4,-7.7082,3.459,Semiconductor,Ccc2
Ba(N4O)3_id2670_Final_E-7.66.cif,Ba(N4O)3_id2670_E-6.23.cif,Ba(N4O)3,-7.6625,2.964,Semiconductor,P-1
Mg2Sc2O5_id2806_Final_E-7.62.cif,Mg2Sc2O5_id2806_E-6.47.cif,Mg2Sc2O5,-7.6156,3.564,Insulator,Pccn
Sc2CdBO4_id3039_Final_E-7.54.cif,Sc2CdBO4_id3039_E-6.84.cif,Sc2CdBO4,-7.5383,0.003,Metal,P-42c
Ti3(SnO)2_id3279_Final_E-7.40.cif,Ti3(SnO)2_id3279_E-6.78.cif,Ti3(SnO)2,-7.403,0.343,Semiconductor,P4/mnc
TiS_id2641_Final_E-7.33.cif,TiS_id2641_E-7.13.cif,TiS,-7.3332,0.0,Metal,P4/nmm
SrGa(SiO3)2_id1687_Final_E-7.31.cif,SrGa(SiO3)2_id1687_E-3.29.cif,SrGa(SiO3)2,-7.3095,2.774,Semiconductor,P1
NaCaSc2O6_id741_Final_E-7.28.cif,NaCaSc2O6_id741_E-6.16.cif,NaCaSc2O6,-7.2819,3.108,Semiconductor,P1
Ti3Al2C3_id520_Final_E-7.24.cif,Ti3Al2C3_id520_E-6.19.cif,Ti3Al2C3,-7.2353,0.0,Metal,P2_1
AlN_id2713_Final_E-7.22.cif,AlN_id2713_E-6.35.cif,AlN,-7.2236,3.087,Semiconductor,Fmm2
N2O_id759_Final_E-7.19.cif,N2O_id759_E-6.38.cif,N2O,-7.1944,0.987,Semiconductor,P2_1
