Stage,file_name,formula,energy,bandgap,application,space_group,type
BEFORE,N2O5_id2950_Final_E-5.88.cif,N2O5,-5.8807,0.897,IR / Narrow-Gap,P1 (1),Semiconductor
AFTER,N2O5_id2950_Final_E-5.88_REFINED_P4_2_nnm.cif,N2O5,-5.8807,0.897,IR / Narrow-Gap,P4_2/nnm (134),Semiconductor
,,,,,,,
BEFORE,As2P4NO7_id42_Final_E-4.82.cif,As2P4NO7,-4.8166,1.208,Solar / Visible,P1 (1),Semiconductor
AFTER,As2P4NO7_id42_Final_E-4.82_REFINED_P2_12_12_1.cif,As2P4NO7,-4.8166,1.208,Solar / Visible,P2_12_12_1 (19),Semiconductor
,,,,,,,
BEFORE,AsS4O_id3129_Final_E-4.11.cif,AsS4O,-4.1095,2.609,Wide-Gap Power/LED,P1 (1),Semiconductor
AFTER,AsS4O_id3129_Final_E-4.11_REFINED_P2_12_12_1.cif,AsS4O,-4.1095,2.609,Wide-Gap Power/LED,P2_12_12_1 (19),Semiconductor
,,,,,,,
BEFORE,AsPSe2_id1874_Final_E-4.45.cif,AsPSe2,-4.4496,1.322,Solar / Visible,P1 (1),Semiconductor
AFTER,AsPSe2_id1874_Final_E-4.45_REFINED_Cc.cif,AsPSe2,-4.4496,1.322,Solar / Visible,Cc (9),Semiconductor
,,,,,,,
BEFORE,SbAs3_id917_Final_E-4.93.cif,SbAs3,-4.9252,0.273,IR / Narrow-Gap,P1 (1),Semiconductor
AFTER,SbAs3_id917_Final_E-4.93_REFINED_C2.cif,SbAs3,-4.9252,0.273,IR / Narrow-Gap,C2 (5),Semiconductor
,,,,,,,
BEFORE,Sb2Te3As_id514_Final_E-3.93.cif,Sb2Te3As,-3.9294,0.411,IR / Narrow-Gap,P1 (1),Semiconductor
AFTER,Sb2Te3As_id514_Final_E-3.93_REFINED_P-1.cif,Sb2Te3As,-3.9294,0.411,IR / Narrow-Gap,P-1 (2),Semiconductor
,,,,,,,
BEFORE,Sb2AsSe2_id1327_Final_E-3.15.cif,Sb2AsSe2,-3.1518,2.254,Wide-Gap Power/LED,P1 (1),Semiconductor
AFTER,Sb2AsSe2_id1327_Final_E-3.15_REFINED_C2_m.cif,Sb2AsSe2,-3.1518,2.254,Wide-Gap Power/LED,C2/m (12),Semiconductor
,,,,,,,
BEFORE,GeS10_id999_Final_E-4.17.cif,GeS10,-4.1715,1.702,Solar / Visible,P1 (1),Semiconductor
AFTER,GeS10_id999_Final_E-4.17_REFINED_Pm.cif,GeS10,-4.1715,1.702,Solar / Visible,Pm (6),Semiconductor
,,,,,,,
BEFORE,Ge2N5O11_id953_Final_E-3.99.cif,Ge2N5O11,-3.9912,0.652,IR / Narrow-Gap,P1 (1),Semiconductor
AFTER,Ge2N5O11_id953_Final_E-3.99_REFINED_P-4c2.cif,Ge2N5O11,-3.9912,0.652,IR / Narrow-Gap,P-4c2 (116),Semiconductor
,,,,,,,
BEFORE,Ge(B2N)2_id731_Final_E-5.75.cif,Ge(B2N)2,-5.7529,1.935,Solar / Visible,P1 (1),Semiconductor
AFTER,Ge(B2N)2_id731_Final_E-5.75_REFINED_P-1.cif,Ge(B2N)2,-5.7529,1.935,Solar / Visible,P-1 (2),Semiconductor
,,,,,,,
BEFORE,Ge6Te3As3Se7_id899_Final_E-3.38.cif,Ge6Te3As3Se7,-3.3768,1.269,Solar / Visible,P1 (1),Semiconductor
AFTER,Ge6Te3As3Se7_id899_Final_E-3.38_REFINED_C2.cif,Ge6Te3As3Se7,-3.3768,1.269,Solar / Visible,C2 (5),Semiconductor
,,,,,,,
BEFORE,SiGe6O23_id3247_Final_E-5.42.cif,SiGe6O23,-5.4204,2.32,Wide-Gap Power/LED,P1 (1),Semiconductor
AFTER,SiGe6O23_id3247_Final_E-5.42_REFINED_C2.cif,SiGe6O23,-5.4204,2.32,Wide-Gap Power/LED,C2 (5),Semiconductor
,,,,,,,
BEFORE,Si3(B2P)2_id2161_Final_E-5.61.cif,Si3(B2P)2,-5.6136,0.092,IR / Narrow-Gap,P1 (1),Semiconductor
