File,Formula,Energy,Bandgap,Application,Type,Space_Group,Stability,E_Above_Hull,Is_Viable,Decomposition
LiSeS_id1057_Final_E-4.04_REFINED_Cmc2_1_METASTABLE.cif,LiSeS,-4.04,0.0,Metal (Conductor),Metal,Cmc2_1 (36),Metastable,0.0071,True,"Li2Se (0.50), SeS7 (0.38), Se (0.12)"
Ca4ScTiO_id915_Final_E-4.82_REFINED_Cm_METASTABLE.cif,Ca4ScTiO,-4.82,0.0,Metal (Conductor),Metal,Cm (8),Metastable,0.0114,True,"CaSc2O4 (0.25), Ca (0.54), Ti (0.14), Sc (0.07)"
Cd(GaSe2)2_id2968_Final_E-3.87_METASTABLE.cif,Cd(GaSe2)2,-3.87,0.0,Metal (Conductor),Metal,P-42m (111),Metastable,0.0153,True,Cd(GaSe2)2 (1.00)
ZnIn_id1339_Final_E-1.99_METASTABLE.cif,ZnIn,-1.99,0.0,Metal (Conductor),Metal,I4_1/acd (142),Metastable,0.0157,True,"In (0.50), Zn (0.50)"
Na(PSe2)2_id1955_Final_E-4.31_METASTABLE.cif,Na(PSe2)2,-4.31,0.0,Metal (Conductor),Metal,P-42m (111),Metastable,0.0159,True,"PSe (0.24), Na2PSe3 (0.43), P2Se5 (0.33)"
Li7Mg_id996_Final_E-1.87_METASTABLE.cif,Li7Mg,-1.87,0.0,Metal (Conductor),Metal,P1 (1),Metastable,0.0173,True,"Li5Mg (0.75), Li (0.25)"
Ba4Sb_id494_Final_E-2.91_METASTABLE.cif,Ba4Sb,-2.91,0.0,Metal (Conductor),Metal,P4_2/nmc (137),Metastable,0.0211,True,"Ba5Sb3 (0.53), Ba (0.47)"
Na4Cd3In2_id2857_Final_E-1.58_METASTABLE.cif,Na4Cd3In2,-1.58,0.0,Metal (Conductor),Metal,P4_22_12 (94),Metastable,0.0274,True,"NaCd3 (0.44), Na2In (0.33), NaIn (0.22)"
NaIn_id309_Final_E-2.14_METASTABLE.cif,NaIn,-2.14,0.0,Metal (Conductor),Metal,I4_1/amd (141),Metastable,0.0323,True,NaIn (1.00)
KMgSn_id1522_Final_E-2.42_METASTABLE.cif,KMgSn,-2.42,0.0,Metal (Conductor),Metal,P-6m2 (187),Metastable,0.0329,True,"K2Mg5Sn3 (0.67), K (0.07), KSn (0.27)"
ZnGeSe2_id552_Final_E-3.88_METASTABLE.cif,ZnGeSe2,-3.88,0.0,Metal (Conductor),Metal,I-42d (122),Metastable,0.0403,True,"GeSe (0.50), ZnSe (0.50)"
Ti(InS2)2_id3364_Final_E-5.36_METASTABLE.cif,Ti(InS2)2,-5.36,0.0,Metal (Conductor),Metal,Pban (50),Metastable,0.0412,True,"Ti5S8 (0.37), InS (0.34), In2S3 (0.29)"
KInTe4_id3117_Final_E-3.40_METASTABLE.cif,KInTe4,-3.4,0.0,Metal (Conductor),Metal,I-42d (122),Metastable,0.0417,True,"K2Te3 (0.42), In2Te5 (0.58)"
KO2_id1861_Final_E-4.61_METASTABLE.cif,KO2,-4.61,0.0,Metal (Conductor),Metal,P2_1/c (14),Metastable,0.046,True,KO2 (1.00)
Li3GaGeTe4_id3083_Final_E-3.67_METASTABLE.cif,Li3GaGeTe4,-3.67,0.0,Metal (Conductor),Metal,P-43m (215),Metastable,0.0467,True,"LiGaTe2 (0.44), Li2Te (0.33), GeTe (0.22)"
KCd2Te4As_id29_Final_E-3.11_METASTABLE.cif,KCd2Te4As,-3.11,0.0,Metal (Conductor),Metal,I-42m (121),Metastable,0.0486,True,"K2Te3 (0.31), CdTe (0.50), As (0.08), Te3As2 (0.10)"
Na2LiS4_id1767_Final_E-4.03.cif,Na2LiS4,-4.03,0.0,Metal (Conductor),Metal,P2/c (13),Unstable,0.0501,False,"NaLiS (0.14), NaS2 (0.71), Li2S (0.14)"
NaTeSe_id2087_Final_E-3.44.cif,NaTeSe,-3.44,0.0,Metal (Conductor),Metal,Aea2 (41),Unstable,0.0571,False,"Na2TeSe3 (0.50), NaTe3 (0.33), NaSe (0.17)"
Li3AlSbSe4_id1065_Final_E-4.17.cif,Li3AlSbSe4,-4.17,0.0,Metal (Conductor),Metal,P-43m (215),Unstable,0.0577,False,"LiSbSe2 (0.30), LiAlSe2 (0.44), Li2Se (0.22), Sb (0.04)"
KGa2_id517_Final_E-2.49.cif,KGa2,-2.49,0.0,Metal (Conductor),Metal,P6/mmm (191),Unstable,0.0592,False,"K2Ga3 (0.56), KGa3 (0.44)"
K2SbTe4_id752_Final_E-3.43_REFINED_Pc.cif,K2SbTe4,-3.43,0.0,Metal (Conductor),Metal,Pc (7),Unstable,0.0603,False,"Sb2Te3 (0.30), K2Te3 (0.54), K3SbTe3 (0.17)"
Li3Te2_id2900_Final_E-3.44.cif,Li3Te2,-3.44,0.0,Metal (Conductor),Metal,P-42_1m (113),Unstable,0.0638,False,"LiTe3 (0.16), Li2Te (0.84)"
Ba2Li(SnSe)2_id871_Final_E-4.31.cif,Ba2Li(SnSe)2,-4.31,0.0,Metal (Conductor),Metal,P-42_1m (113),Unstable,0.0646,False,"BaSn3 (0.29), Li2Se (0.21), BaSe (0.43), Sn (0.07)"
KSb_id2937_Final_E-3.08.cif,KSb,-3.08,0.0,Metal (Conductor),Metal,C2/m (12),Unstable,0.0667,False,KSb (1.00)
KBaSe_id3381_Final_E-3.63.cif,KBaSe,-3.63,0.0,Metal (Conductor),Metal,C2/m (12),Unstable,0.0676,False,"K (0.33), BaSe (0.67)"
NaLiGaSb_id1439_Final_E-2.98.cif,NaLiGaSb,-2.98,0.0,Metal (Conductor),Metal,P3m1 (156),Unstable,0.0677,False,"NaLi2Sb (0.50), NaGa4 (0.16), Na2(GaSb)3 (0.32), Na3Sb (0.02)"
Na4Cd3Sb2_id753_Final_E-2.09.cif,Na4Cd3Sb2,-2.09,0.0,Metal (Conductor),Metal,P-3c1 (165),Unstable,0.068,False,"Na26Cd141 (0.24), NaCdSb (0.39), Na3Sb (0.37)"
PS6_id2853_Final_E-4.58.cif,PS6,-4.58,0.0,Metal (Conductor),Metal,P1 (1),Unstable,0.068,False,"P2S7 (0.64), S (0.36)"
MgTe_id1623_Final_E-3.39.cif,MgTe,-3.39,0.0,Metal (Conductor),Metal,Cmce (64),Unstable,0.0684,False,MgTe (1.00)
InSnTe2_id565_Final_E-3.70.cif,InSnTe2,-3.7,0.0,Metal (Conductor),Metal,I4/mmm (139),Unstable,0.0699,False,InSnTe2 (1.00)
ZnTeS2_id2018_Final_E-3.63.cif,ZnTeS2,-3.63,0.0,Metal (Conductor),Metal,P2_1 (4),Unstable,0.0706,False,"S (0.25), Te (0.25), ZnS (0.50)"
