file_name,formula,energy,bandgap,Application_Class,space_group,type
Ti3O7_id1090_Final_E-8.49.cif,Ti3O7,-8.4865,0.45,IR / Narrow-Gap,P1,Semiconductor
CaN30_id761_Final_E-8.25.cif,CaN30,-8.2541,0.929,IR / Narrow-Gap,P3,Semiconductor
Ti2C7_id2655_Final_E-8.24.cif,Ti2C7,-8.2416,1.719,Solar / Visible,C2,Semiconductor
Li2Ti2O5_id2311_Final_E-7.93.cif,Li2Ti2O5,-7.933,2.906,Wide-Gap Power/LED,Pbcn,Semiconductor
MgN14_id1582_Final_E-7.87.cif,MgN14,-7.8743,1.341,Solar / Visible,Cc,Semiconductor
SrN10_id1581_Final_E-7.86.cif,SrN10,-7.8577,2.23,Wide-Gap Power/LED,Fdd2,Semiconductor
Sc3GeN_id866_Final_E-7.75.cif,Sc3GeN,-7.7524,0.252,IR / Narrow-Gap,Pm-3m,Semiconductor
Sc2GaSiO4_id2705_Final_E-7.71.cif,Sc2GaSiO4,-7.7082,3.459,Wide-Gap Power/LED,Ccc2,Semiconductor
Ba(N4O)3_id2670_Final_E-7.66.cif,Ba(N4O)3,-7.6625,2.964,Wide-Gap Power/LED,P-1,Semiconductor
Ti3(SnO)2_id3279_Final_E-7.40.cif,Ti3(SnO)2,-7.403,0.343,IR / Narrow-Gap,P4/mnc,Semiconductor
SrGa(SiO3)2_id1687_Final_E-7.31.cif,SrGa(SiO3)2,-7.3095,2.774,Wide-Gap Power/LED,P1,Semiconductor
NaCaSc2O6_id741_Final_E-7.28.cif,NaCaSc2O6,-7.2819,3.108,Wide-Gap Power/LED,P1,Semiconductor
AlN_id2713_Final_E-7.22.cif,AlN,-7.2236,3.087,Wide-Gap Power/LED,Fmm2,Semiconductor
N2O_id759_Final_E-7.19.cif,N2O,-7.1944,0.987,IR / Narrow-Gap,P2_1,Semiconductor
Ti2B7_id3116_Final_E-7.14.cif,Ti2B7,-7.1411,1.448,Solar / Visible,C222_1,Semiconductor
LiTiN_id1437_Final_E-7.13.cif,LiTiN,-7.1331,1.48,Solar / Visible,P2_12_12_1,Semiconductor
TiSeO3_id842_Final_E-7.12.cif,TiSeO3,-7.1246,1.793,Solar / Visible,P6_3mc,Semiconductor
TiGaO_id2817_Final_E-7.08.cif,TiGaO,-7.082,0.893,IR / Narrow-Gap,P2_1/c,Semiconductor
Al2C2O3_id359_Final_E-7.05.cif,Al2C2O3,-7.0459,0.295,IR / Narrow-Gap,Pbcn,Semiconductor
Ca2N5_id2630_Final_E-7.03.cif,Ca2N5,-7.0287,0.453,IR / Narrow-Gap,Pccn,Semiconductor
B2PC8_id2556_Final_E-6.99.cif,B2PC8,-6.9866,2.41,Wide-Gap Power/LED,C2,Semiconductor
TiS_id3172_Final_E-6.94.cif,TiS,-6.9365,2.151,Wide-Gap Power/LED,Pm-3m,Semiconductor
InCO4_id1566_Final_E-6.71.cif,InCO4,-6.7136,3.02,Wide-Gap Power/LED,I4_1/a,Semiconductor
Ge2O3_id247_Final_E-6.61.cif,Ge2O3,-6.6057,0.556,IR / Narrow-Gap,P2_1/c,Semiconductor
NO_id3379_Final_E-6.61.cif,NO,-6.6051,2.183,Wide-Gap Power/LED,Pbca,Semiconductor
Mg5N12_id2310_Final_E-6.60.cif,Mg5N12,-6.6024,1.504,Solar / Visible,P-42_1c,Semiconductor
Ti7GaO6_id1510_Final_E-6.59.cif,Ti7GaO6,-6.5927,1.491,Solar / Visible,P1,Semiconductor
Ca2Si2C15_id2917_Final_E-6.57.cif,Ca2Si2C15,-6.5678,0.903,IR / Narrow-Gap,P1,Semiconductor
MgN2_id2298_Final_E-6.51.cif,MgN2,-6.5083,2.782,Wide-Gap Power/LED,P-6m2,Semiconductor
TiB5C14N_id3134_Final_E-6.49.cif,TiB5C14N,-6.4936,0.673,IR / Narrow-Gap,P2_12_12_1,Semiconductor
AlB3PO16_id1635_Final_E-6.48.cif,AlB3PO16,-6.4836,0.569,IR / Narrow-Gap,P2_1,Semiconductor
NaLi2TiO4_id1572_Final_E-6.42.cif,NaLi2TiO4,-6.4222,2.594,Wide-Gap Power/LED,Pnn2,Semiconductor
Sc3Se4_id2748_Final_E-6.38.cif,Sc3Se4,-6.3804,0.546,IR / Narrow-Gap,I-43d,Semiconductor
GeO2_id345_Final_E-6.30.cif,GeO2,-6.2981,1.04,Solar / Visible,P4/nnc,Semiconductor
Ca3MgNO3_id893_Final_E-6.24.cif,Ca3MgNO3,-6.2438,2.222,Wide-Gap Power/LED,Pm-3m,Semiconductor
BeC_id763_Final_E-6.18.cif,BeC,-6.1842,0.57,IR / Narrow-Gap,Pbca,Semiconductor
Ti2Be2B_id2089_Final_E-6.14.cif,Ti2Be2B,-6.1396,2.011,Wide-Gap Power/LED,P6_422,Semiconductor
Ti11Zn2_id361_Final_E-6.09.cif,Ti11Zn2,-6.0924,0.318,IR / Narrow-Gap,P1,Semiconductor
Sc4GeSe3_id383_Final_E-6.09.cif,Sc4GeSe3,-6.0888,0.421,IR / Narrow-Gap,P2_1/c,Semiconductor
BeSbCN_id2793_Final_E-6.09.cif,BeSbCN,-6.0877,0.373,IR / Narrow-Gap,Pca2_1,Semiconductor
ZnCd(S2N3)4_id2737_Final_E-6.07.cif,ZnCd(S2N3)4,-6.0712,0.362,IR / Narrow-Gap,P-1,Semiconductor
Sc3B4_id629_Final_E-6.07.cif,Sc3B4,-6.0666,0.051,IR / Narrow-Gap,P4_2/nnm,Semiconductor
TiO6_id2542_Final_E-6.05.cif,TiO6,-6.0537,1.695,Solar / Visible,P-1,Semiconductor
Ba2LiPO5_id3151_Final_E-6.02.cif,Ba2LiPO5,-6.0169,1.997,Solar / Visible,Cmcm,Semiconductor
CaSn2(GeO2)2_id2709_Final_E-6.01.cif,CaSn2(GeO2)2,-6.0109,0.905,IR / Narrow-Gap,P4_2/m,Semiconductor
AlNO_id3146_Final_E-6.00.cif,AlNO,-6.0043,2.574,Wide-Gap Power/LED,Pca2_1,Semiconductor
