file_name,original_file,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
TiO2_id4862_Final_E-9.31.cif,TiO2_id4862_E-8.78.cif,TiO2,-9.3058,0.867,Semiconductor,Pbca,61,24
Ti2O3_id4575_Final_E-9.22.cif,Ti2O3_id4575_E-8.05.cif,Ti2O3,-9.2171,0.0,Metal,Pbcn,60,20
LiSc4O6_id1691_Final_E-8.53.cif,LiSc4O6_id1691_E-8.30.cif,LiSc4O6,-8.5329,4.018,Insulator,I4/m,87,22
Ti4Zn(NO)2_id2662_Final_E-8.31.cif,Ti4Zn(NO)2_id2662_E-5.88.cif,Ti4Zn(NO)2,-8.3061,0.248,Semiconductor,P2_1/c,14,36
ScC_id4685_Final_E-8.22.cif,ScC_id4685_E-7.31.cif,ScC,-8.2204,0.0,Metal,P1,1,16
Sc2BO2_id259_Final_E-8.02.cif,Sc2BO2_id259_E-7.21.cif,Sc2BO2,-8.024,2.739,Semiconductor,P4/mnc,128,20
Sc2Al2O5_id1876_Final_E-7.98.cif,Sc2Al2O5_id1876_E-7.04.cif,Sc2Al2O5,-7.9793,3.158,Semiconductor,P2_1,4,18
SrN6_id4290_Final_E-7.88.cif,SrN6_id4290_E-7.83.cif,SrN6,-7.8795,0.961,Semiconductor,P6_322,182,14
Ca(C3N4)2_id4891_Final_E-7.87.cif,Ca(C3N4)2_id4891_E-6.81.cif,Ca(C3N4)2,-7.8748,1.464,Semiconductor,P2_1,4,30
Sc7(TeO2)2_id4_Final_E-7.81.cif,Sc7(TeO2)2_id4_E-6.94.cif,Sc7(TeO2)2,-7.8149,1.338,Semiconductor,P2_1/c,14,26
Sc3GeN_id1303_Final_E-7.75.cif,Sc3GeN_id1303_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5
Sc4S2N3O8_id310_Final_E-7.65.cif,Sc4S2N3O8_id310_E-7.08.cif,Sc4S2N3O8,-7.6511,2.657,Semiconductor,R3m,160,51
Sc2O5_id3409_Final_E-7.64.cif,Sc2O5_id3409_E-7.46.cif,Sc2O5,-7.6405,1.2,Semiconductor,Pbam,55,14
TiSiN2_id2860_Final_E-7.64.cif,TiSiN2_id2860_E-7.64.cif,TiSiN2,-7.64,0.88,Semiconductor,Fm-3m,225,16
B3AsPO7_id4789_Final_E-7.60.cif,B3AsPO7_id4789_E-5.47.cif,B3AsPO7,-7.597,1.548,Semiconductor,P1,1,24
CaN4_id750_Final_E-7.58.cif,CaN4_id750_E-7.31.cif,CaN4,-7.5753,3.404,Semiconductor,R-3,148,45
C13Se2_id2934_Final_E-7.53.cif,C13Se2_id2934_E-5.73.cif,C13Se2,-7.5319,1.012,Semiconductor,C2/c,15,60
BCN3_id444_Final_E-7.51.cif,BCN3_id444_E-6.92.cif,BCN3,-7.5131,2.161,Semiconductor,Pnma,62,20
CaSi2CN8_id1884_Final_E-7.48.cif,CaSi2CN8_id1884_E-6.89.cif,CaSi2CN8,-7.4812,1.105,Semiconductor,Pban,50,24
Ti3S4(NO2)3_id1192_Final_E-7.38.cif,Ti3S4(NO2)3_id1192_E-6.15.cif,Ti3S4(NO2)3,-7.3812,2.304,Semiconductor,P1,1,48
Sc2Be2O3_id2671_Final_E-7.37.cif,Sc2Be2O3_id2671_E-6.63.cif,Sc2Be2O3,-7.3732,3.243,Semiconductor,P321,150,21
TiZnO3_id4365_Final_E-7.37.cif,TiZnO3_id4365_E-5.20.cif,TiZnO3,-7.371,1.249,Semiconductor,Cc,9,20
Sc3P(SN3)3_id1950_Final_E-7.36.cif,Sc3P(SN3)3_id1950_E-5.78.cif,Sc3P(SN3)3,-7.3639,1.931,Semiconductor,P1,1,48
SrSc3(SbO3)4_id3210_Final_E-7.33.cif,SrSc3(SbO3)4_id3210_E-6.65.cif,SrSc3(SbO3)4,-7.3269,0.012,Metal,P-1,2,40
KSr(BO2)6_id2573_Final_E-7.30.cif,KSr(BO2)6_id2573_E-5.90.cif,KSr(BO2)6,-7.3012,4.679,Insulator,P1,1,40
Li2PC11N_id3695_Final_E-7.24.cif,Li2PC11N_id3695_E-5.96.cif,Li2PC11N,-7.2425,0.134,Semiconductor,P2/c,13,60
Ti2ZnO4_id2472_Final_E-7.24.cif,Ti2ZnO4_id2472_E-7.05.cif,Ti2ZnO4,-7.2408,0.484,Semiconductor,Ccce,68,28
NaTi2InO4_id4265_Final_E-7.24.cif,NaTi2InO4_id4265_E-6.20.cif,NaTi2InO4,-7.2408,1.262,Semiconductor,I-42d,122,32
ScSNO3_id992_Final_E-7.22.cif,ScSNO3_id992_E-5.94.cif,ScSNO3,-7.219,4.225,Insulator,Pca2_1,29,24
Al2Sn4B4N17_id4309_Final_E-7.21.cif,Al2Sn4B4N17_id4309_E-6.46.cif,Al2Sn4B4N17,-7.213,1.643,Semiconductor,P1,1,54
Ca2N7_id4515_Final_E-7.19.cif,Ca2N7_id4515_E-6.41.cif,Ca2N7,-7.1889,0.839,Semiconductor,P-1,2,18
Mg3Sc3SnO12_id2636_Final_E-7.18.cif,Mg3Sc3SnO12_id2636_E-4.39.cif,Mg3Sc3SnO12,-7.1823,1.857,Semiconductor,P1,1,19
BaZnN8_id1059_Final_E-7.17.cif,BaZnN8_id1059_E-7.12.cif,BaZnN8,-7.1692,0.0,Metal,I4_1/a,88,40
P3C(N3O)3_id4979_Final_E-7.17.cif,P3C(N3O)3_id4979_E-6.32.cif,P3C(N3O)3,-7.1651,1.137,Semiconductor,P6_3,173,32
B2P2CN2_id696_Final_E-7.02.cif,B2P2CN2_id696_E-6.27.cif,B2P2CN2,-7.0199,0.214,Semiconductor,Pbcn,60,28
Al2P2NO8_id2282_Final_E-6.99.cif,Al2P2NO8_id2282_E-5.81.cif,Al2P2NO8,-6.9933,0.0,Metal,Pc,7,52
KTi3ZnTeO12_id2750_Final_E-6.98.cif,KTi3ZnTeO12_id2750_E-5.39.cif,KTi3ZnTeO12,-6.9811,1.568,Semiconductor,P-3,147,36
Li(BO)6_id4501_Final_E-6.97.cif,Li(BO)6_id4501_E-6.83.cif,Li(BO)6,-6.9747,2.577,Semiconductor,P6_322,182,26
K4Ti4BeBN12_id725_Final_E-6.95.cif,K4Ti4BeBN12_id725_E-4.00.cif,K4Ti4BeBN12,-6.955,1.442,Semiconductor,P-1,2,44
NaCaTi(NO)2_id498_Final_E-6.91.cif,NaCaTi(NO)2_id498_E-5.73.cif,NaCaTi(NO)2,-6.9117,1.442,Semiconductor,Pc,7,28
LiScTiZnBAsPC4N3_id2509_Final_E-6.91.cif,LiScTiZnBAsPC4N3_id2509_E-5.88.cif,LiScTiZnBAsPC4N3,-6.9112,0.021,Metal,Pca2_1,29,56
Ti2Si3_id3825_Final_E-6.91.cif,Ti2Si3_id3825_E-5.44.cif,Ti2Si3,-6.9083,0.0,Metal,Pnma,62,20
BaCaGa2N11_id75_Final_E-6.88.cif,BaCaGa2N11_id75_E-5.34.cif,BaCaGa2N11,-6.8842,2.32,Semiconductor,P1,1,15
TiAlCdO6_id371_Final_E-6.88.cif,TiAlCdO6_id371_E-6.72.cif,TiAlCdO6,-6.8789,1.726,Semiconductor,P-31c,163,18
Ti2BeC_id2542_Final_E-6.86.cif,Ti2BeC_id2542_E-4.16.cif,Ti2BeC,-6.8617,0.0,Metal,P4_2bc,106,32
NaLiAl6O12_id124_Final_E-6.86.cif,NaLiAl6O12_id124_E-6.24.cif,NaLiAl6O12,-6.8596,4.788,Insulator,R-3,148,60
SiO3_id2631_Final_E-6.85.cif,SiO3_id2631_E-5.74.cif,SiO3,-6.8517,1.585,Semiconductor,P1,1,32
Be2Al4B2O7_id224_Final_E-6.82.cif,Be2Al4B2O7_id224_E-5.97.cif,Be2Al4B2O7,-6.8217,4.267,Insulator,Cc,9,60
SrN4_id1397_Final_E-6.79.cif,SrN4_id1397_E-6.16.cif,SrN4,-6.7871,1.797,Semiconductor,I4_1/a,88,20
C(NO2)3_id284_Final_E-6.79.cif,C(NO2)3_id284_E-5.43.cif,C(NO2)3,-6.7869,1.785,Semiconductor,P1,1,30
ScAl2O2_id4626_Final_E-6.75.cif,ScAl2O2_id4626_E-6.62.cif,ScAl2O2,-6.7483,0.0,Metal,P4/mnc,128,20
LiTi4As(SO)3_id3251_Final_E-6.74.cif,LiTi4As(SO)3_id3251_E-6.62.cif,LiTi4As(SO)3,-6.7439,0.629,Semiconductor,P-6m2,187,12
Mg2Cd(CN)4_id2239_Final_E-6.74.cif,Mg2Cd(CN)4_id2239_E-6.22.cif,Mg2Cd(CN)4,-6.7399,0.032,Metal,Pban,50,22
BaN2_id4315_Final_E-6.74.cif,BaN2_id4315_E-4.44.cif,BaN2,-6.7398,2.075,Semiconductor,P6/mmm,191,9
AlGeN2_id4815_Final_E-6.67.cif,AlGeN2_id4815_E-5.56.cif,AlGeN2,-6.6747,0.0,Metal,I4_122,98,16
BaLi3MgTiSi2N6O7_id4537_Final_E-6.64.cif,BaLi3MgTiSi2N6O7_id4537_E-5.47.cif,BaLi3MgTiSi2N6O7,-6.639,1.494,Semiconductor,Pc,7,42
LiB4PN2_id327_Final_E-6.63.cif,LiB4PN2_id327_E-5.35.cif,LiB4PN2,-6.6274,0.0,Metal,P1,1,32
BaLi2Ca2Ge2P2O11_id3318_Final_E-6.62.cif,BaLi2Ca2Ge2P2O11_id3318_E-3.79.cif,BaLi2Ca2Ge2P2O11,-6.6215,2.738,Semiconductor,P1,1,20
Si2PO2_id2278_Final_E-6.62.cif,Si2PO2_id2278_E-5.71.cif,Si2PO2,-6.6164,0.171,Semiconductor,P1,1,20
Ti2GaO_id2076_Final_E-6.61.cif,Ti2GaO_id2076_E-4.97.cif,Ti2GaO,-6.6074,0.457,Semiconductor,Pmmn,59,8
PO_id3068_Final_E-6.60.cif,PO_id3068_E-4.19.cif,PO,-6.597,1.816,Semiconductor,P1,1,16
P4CS2N5_id2216_Final_E-6.59.cif,P4CS2N5_id2216_E-5.29.cif,P4CS2N5,-6.586,2.19,Semiconductor,P1,1,48
AlGaO2_id25_Final_E-6.58.cif,AlGaO2_id25_E-5.41.cif,AlGaO2,-6.5831,3.023,Semiconductor,Pca2_1,29,16
LiCaSb(P2O9)2_id1283_Final_E-6.58.cif,LiCaSb(P2O9)2_id1283_E-5.20.cif,LiCaSb(P2O9)2,-6.5762,0.128,Semiconductor,I222,23,50
Ca2Sc2Cd2SO9_id3630_Final_E-6.57.cif,Ca2Sc2Cd2SO9_id3630_E-5.64.cif,Ca2Sc2Cd2SO9,-6.5718,2.274,Semiconductor,P1,1,32
Ba2GeC2SN3O4_id4838_Final_E-6.57.cif,Ba2GeC2SN3O4_id4838_E-4.99.cif,Ba2GeC2SN3O4,-6.5717,2.085,Semiconductor,P1,1,13
Ti3O16_id2089_Final_E-6.57.cif,Ti3O16_id2089_E-5.90.cif,Ti3O16,-6.5679,1.074,Semiconductor,P2,3,19
N5O3_id2931_Final_E-6.57.cif,N5O3_id2931_E-6.22.cif,N5O3,-6.5664,0.345,Semiconductor,C2/c,15,32
