file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
TiO2_id4862_E-8.78.cif,TiO2,-8.7835,1.519,Semiconductor,Pbca,61,24
LiSc4O6_id1691_E-8.30.cif,LiSc4O6,-8.2959,3.279,Semiconductor,I4/m,87,22
Ti2O3_id4575_E-8.05.cif,Ti2O3,-8.0543,1.202,Semiconductor,Pbcn,60,20
SrN6_id4290_E-7.83.cif,SrN6,-7.8323,0.718,Semiconductor,P6_322,182,14
Sc3GeN_id1303_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5
TiSiN2_id2860_E-7.64.cif,TiSiN2,-7.64,0.88,Semiconductor,Fm-3m,225,16
Sc2O5_id3409_E-7.46.cif,Sc2O5,-7.4628,3.307,Semiconductor,Pba2,32,14
CaN4_id750_E-7.31.cif,CaN4,-7.3138,2.707,Semiconductor,R-3,148,45
ScC_id4685_E-7.31.cif,ScC,-7.3067,1.572,Semiconductor,P4_2cm,101,16
Sc2BO2_id259_E-7.21.cif,Sc2BO2,-7.2053,3.666,Insulator,P4/mnc,128,20
BaZnN8_id1059_E-7.12.cif,BaZnN8,-7.1208,3.523,Insulator,I4_1/a,88,40
Sc4S2N3O8_id310_E-7.08.cif,Sc4S2N3O8,-7.0755,3.032,Semiconductor,R3m,160,51
Ti2ZnO4_id2472_E-7.05.cif,Ti2ZnO4,-7.053,1.424,Semiconductor,Ccce,68,28
Sc2Al2O5_id1876_E-7.04.cif,Sc2Al2O5,-7.0378,3.441,Semiconductor,Pmmn,59,18
Sc7(TeO2)2_id4_E-6.94.cif,Sc7(TeO2)2,-6.9371,0.812,Semiconductor,P2_1/c,14,26
BCN3_id444_E-6.92.cif,BCN3,-6.9213,0.508,Semiconductor,Pnma,62,20
CaSi2CN8_id1884_E-6.89.cif,CaSi2CN8,-6.8858,0.507,Semiconductor,Pban,50,24
Li(BO)6_id4501_E-6.83.cif,Li(BO)6,-6.8315,0.516,Semiconductor,P6_322,182,26
Ca(C3N4)2_id4891_E-6.81.cif,Ca(C3N4)2,-6.8103,1.677,Semiconductor,P2_1,4,30
TiAlCdO6_id371_E-6.72.cif,TiAlCdO6,-6.7179,2.41,Semiconductor,P-31c,163,18
