file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
TiO2_id4862_Final_E-9.31.cif,TiO2,-9.3058,0.867,Semiconductor,Pbca,61,24
Ti4Zn(NO)2_id2662_Final_E-8.31.cif,Ti4Zn(NO)2,-8.3061,0.248,Semiconductor,P2_1/c,14,36
Sc2BO2_id259_Final_E-8.02.cif,Sc2BO2,-8.024,2.739,Semiconductor,P4/mnc,128,20
Sc2Al2O5_id1876_Final_E-7.98.cif,Sc2Al2O5,-7.9793,3.158,Semiconductor,P2_1,4,18
SrN6_id4290_Final_E-7.88.cif,SrN6,-7.8795,0.961,Semiconductor,P6_322,182,14
Ca(C3N4)2_id4891_Final_E-7.87.cif,Ca(C3N4)2,-7.8748,1.464,Semiconductor,P2_1,4,30
Sc7(TeO2)2_id4_Final_E-7.81.cif,Sc7(TeO2)2,-7.8149,1.338,Semiconductor,P2_1/c,14,26
Sc3GeN_id1303_Final_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5
Sc4S2N3O8_id310_Final_E-7.65.cif,Sc4S2N3O8,-7.6511,2.657,Semiconductor,R3m,160,51
Sc2O5_id3409_Final_E-7.64.cif,Sc2O5,-7.6405,1.2,Semiconductor,Pbam,55,14
TiSiN2_id2860_Final_E-7.64.cif,TiSiN2,-7.64,0.88,Semiconductor,Fm-3m,225,16
B3AsPO7_id4789_Final_E-7.60.cif,B3AsPO7,-7.597,1.548,Semiconductor,P1,1,24
CaN4_id750_Final_E-7.58.cif,CaN4,-7.5753,3.404,Semiconductor,R-3,148,45
C13Se2_id2934_Final_E-7.53.cif,C13Se2,-7.5319,1.012,Semiconductor,C2/c,15,60
BCN3_id444_Final_E-7.51.cif,BCN3,-7.5131,2.161,Semiconductor,Pnma,62,20
CaSi2CN8_id1884_Final_E-7.48.cif,CaSi2CN8,-7.4812,1.105,Semiconductor,Pban,50,24
Ti3S4(NO2)3_id1192_Final_E-7.38.cif,Ti3S4(NO2)3,-7.3812,2.304,Semiconductor,P1,1,48
Sc2Be2O3_id2671_Final_E-7.37.cif,Sc2Be2O3,-7.3732,3.243,Semiconductor,P321,150,21
TiZnO3_id4365_Final_E-7.37.cif,TiZnO3,-7.371,1.249,Semiconductor,Cc,9,20
Sc3P(SN3)3_id1950_Final_E-7.36.cif,Sc3P(SN3)3,-7.3639,1.931,Semiconductor,P1,1,48
Li2PC11N_id3695_Final_E-7.24.cif,Li2PC11N,-7.2425,0.134,Semiconductor,P2/c,13,60
Ti2ZnO4_id2472_Final_E-7.24.cif,Ti2ZnO4,-7.2408,0.484,Semiconductor,Ccce,68,28
NaTi2InO4_id4265_Final_E-7.24.cif,NaTi2InO4,-7.2408,1.262,Semiconductor,I-42d,122,32
Al2Sn4B4N17_id4309_Final_E-7.21.cif,Al2Sn4B4N17,-7.213,1.643,Semiconductor,P1,1,54
Ca2N7_id4515_Final_E-7.19.cif,Ca2N7,-7.1889,0.839,Semiconductor,P-1,2,18
Mg3Sc3SnO12_id2636_Final_E-7.18.cif,Mg3Sc3SnO12,-7.1823,1.857,Semiconductor,P1,1,19
P3C(N3O)3_id4979_Final_E-7.17.cif,P3C(N3O)3,-7.1651,1.137,Semiconductor,P6_3,173,32
B2P2CN2_id696_Final_E-7.02.cif,B2P2CN2,-7.0199,0.214,Semiconductor,Pbcn,60,28
KTi3ZnTeO12_id2750_Final_E-6.98.cif,KTi3ZnTeO12,-6.9811,1.568,Semiconductor,P-3,147,36
Li(BO)6_id4501_Final_E-6.97.cif,Li(BO)6,-6.9747,2.577,Semiconductor,P6_322,182,26
K4Ti4BeBN12_id725_Final_E-6.95.cif,K4Ti4BeBN12,-6.955,1.442,Semiconductor,P-1,2,44
