file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
Ti3AlO4_id1176_E-8.34.cif,Ti3AlO4,-8.3387,0.0,Metal,Pm-3m,221,8
Ti3GaN_id1010_E-8.11.cif,Ti3GaN,-8.1068,0.0,Metal,Pm-3m,221,5
Ti2O_id1951_E-8.08.cif,Ti2O,-8.0789,0.0,Metal,P321,150,9
Ti2O_id2745_E-8.03.cif,Ti2O,-8.0338,0.0,Metal,I4/mmm,139,12
TiSiC2_id486_E-7.84.cif,TiSiC2,-7.8433,0.0,Metal,P6_3/mmc,194,8
Ti3SiO4_id374_E-7.84.cif,Ti3SiO4,-7.843,0.0,Metal,Cmcm,63,32
TiS_id3172_E-7.78.cif,TiS,-7.7805,2.747,Semiconductor,Im-3m,229,24
Sc3GeN_id866_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5
ScN2_id1980_E-7.70.cif,ScN2,-7.7044,0.065,Semiconductor,Pca2_1,29,12
Ti42GaGe7_id1013_E-7.53.cif,Ti42GaGe7,-7.5334,0.0,Metal,P1,1,50
Ti_id3192_E-7.50.cif,Ti,-7.5028,0.0,Metal,Pm-3m,221,64
TiC_id700_E-7.49.cif,TiC,-7.4865,0.0,Metal,I4_1/amd,141,8
ScN_id1837_E-7.42.cif,ScN,-7.4177,0.0,Metal,P6_522,179,12
Sc2SiO4_id2464_E-7.37.cif,Sc2SiO4,-7.3718,3.377,Semiconductor,P2/c,13,28
Sc3GaN_id2498_E-7.31.cif,Sc3GaN,-7.3078,0.0,Metal,Pm-3m,221,5
Ti4As(PO)2_id1643_E-7.17.cif,Ti4As(PO)2,-7.1735,0.0,Metal,P-42m,111,9
NaTi7O3_id1046_E-7.16.cif,NaTi7O3,-7.1558,0.0,Metal,Pm-3n,223,22
TiS_id2641_E-7.13.cif,TiS,-7.1268,0.173,Semiconductor,P4/nmm,129,8
C_id224_E-7.10.cif,C,-7.1012,0.883,Semiconductor,Cmmm,65,11
TiSeO3_id842_E-7.02.cif,TiSeO3,-7.0216,2.432,Semiconductor,P6_3mc,186,10
Sc2C_id1920_E-7.00.cif,Sc2C,-6.997,0.0,Metal,P4_2/nmc,137,12
SrN10_id1581_E-7.00.cif,SrN10,-6.9969,0.324,Semiconductor,I-42d,122,44
CaN30_id761_E-6.95.cif,CaN30,-6.9506,1.92,Semiconductor,R-3,148,93
N2_id2383_E-6.94.cif,N2,-6.9407,2.471,Semiconductor,P1,1,12
ScBO_id3299_E-6.89.cif,ScBO,-6.8913,0.0,Metal,Pbca,61,24
MgN14_id1582_E-6.88.cif,MgN14,-6.8823,1.592,Semiconductor,Cc,9,60
Sc2CdBO4_id3039_E-6.84.cif,Sc2CdBO4,-6.8442,0.669,Semiconductor,P-42c,112,16
Sc4TiS2_id2824_E-6.83.cif,Sc4TiS2,-6.8321,0.0,Metal,Cmce,64,28
C_id2719_E-6.81.cif,C,-6.8069,0.052,Semiconductor,Pbcn,60,12
Li2Ti2O5_id2311_E-6.80.cif,Li2Ti2O5,-6.8023,2.583,Semiconductor,Pbcn,60,36
Ti3(SnO)2_id3279_E-6.78.cif,Ti3(SnO)2,-6.7842,0.683,Semiconductor,P4/mnc,128,28
BaScO4_id1197_E-6.74.cif,BaScO4,-6.7424,0.0,Metal,P4/nbm,125,12
Ti2C7_id2655_E-6.66.cif,Ti2C7,-6.6575,0.29,Semiconductor,P4_2/nbc,133,36
CO3_id2196_E-6.63.cif,CO3,-6.6284,5.4,Insulator,Ibca,73,32
BeC6N5_id2000_E-6.61.cif,BeC6N5,-6.6114,0.008,Metal,P1,1,24
Ti2Ga_id571_E-6.58.cif,Ti2Ga,-6.5848,0.0,Metal,I4/mmm,139,12
Sc2Te2P2C25(SeN)2_id46_E-6.58.cif,Sc2Te2P2C25(SeN)2,-6.5842,1.348,Semiconductor,P2_1/c,14,70
NO_id609_E-6.58.cif,NO,-6.5828,5.684,Insulator,P4/nmm,129,8
TiGaO_id2817_E-6.55.cif,TiGaO,-6.5462,0.106,Semiconductor,Pbca,61,24
N12O7_id1711_E-6.54.cif,N12O7,-6.5414,1.625,Semiconductor,R-3,148,57
LiSiO2_id2531_E-6.54.cif,LiSiO2,-6.5397,0.797,Semiconductor,I4_122,98,16
P2O3_id2811_E-6.54.cif,P2O3,-6.5352,3.916,Insulator,Pbcn,60,20
Ti7GaO6_id1510_E-6.53.cif,Ti7GaO6,-6.5309,1.13,Semiconductor,P1,1,56
B2PC8_id2556_E-6.47.cif,B2PC8,-6.4733,0.263,Semiconductor,I422,97,22
Mg2Sc2O5_id2806_E-6.47.cif,Mg2Sc2O5,-6.4702,0.059,Semiconductor,Pccn,56,36
Ti5Sb2_id2377_E-6.46.cif,Ti5Sb2,-6.4565,0.0,Metal,Pmmm,47,28
Sc2SeS_id880_E-6.44.cif,Sc2SeS,-6.4383,0.0,Metal,C2/m,12,8
Ti4Ga_id2715_E-6.43.cif,Ti4Ga,-6.4276,0.0,Metal,P4_2/nmc,137,20
Al2C2O3_id359_E-6.40.cif,Al2C2O3,-6.399,0.27,Semiconductor,Pbcn,60,28
C_id464_E-6.39.cif,C,-6.3935,0.0,Metal,Fm-3,202,124
N2O_id759_E-6.38.cif,N2O,-6.3802,1.606,Semiconductor,Pca2_1,29,12
SrC8_id1953_E-6.38.cif,SrC8,-6.3791,0.027,Metal,P-6m2,187,9
AlN_id2713_E-6.35.cif,AlN,-6.3451,1.943,Semiconductor,Aea2,41,16
Sc_id1683_E-6.33.cif,Sc,-6.3332,0.194,Semiconductor,Fm-3c,226,96
Ca2N5_id2630_E-6.32.cif,Ca2N5,-6.3239,1.49,Semiconductor,Pccn,56,28
Ti5Sb2_id275_E-6.32.cif,Ti5Sb2,-6.3154,0.0,Metal,P4_22_12,94,14
C_id2634_E-6.31.cif,C,-6.3128,2.015,Semiconductor,Fm-3m,225,64
ScC4O_id3055_E-6.31.cif,ScC4O,-6.3122,0.0,Metal,P321,150,12
Ti12Zn6SbO12_id2980_E-6.30.cif,Ti12Zn6SbO12,-6.2972,0.949,Semiconductor,Im-3,204,62
InCO4_id1566_E-6.29.cif,InCO4,-6.2899,2.053,Semiconductor,I4_1/a,88,24
K2Sc4BN3_id2396_E-6.27.cif,K2Sc4BN3,-6.2713,0.0,Metal,C2/m,12,20
Ca3MgNO3_id893_E-6.24.cif,Ca3MgNO3,-6.2438,2.222,Semiconductor,Pm-3m,221,8
Ba(N4O)3_id2670_E-6.23.cif,Ba(N4O)3,-6.2295,1.315,Semiconductor,P6_3/m,176,32
Sc3Sn_id3227_E-6.22.cif,Sc3Sn,-6.2159,0.0,Metal,Pm-3m,221,4
Sc3Se4_id2748_E-6.21.cif,Sc3Se4,-6.208,0.932,Semiconductor,I-43d,220,28
MgAl2(BO2)2_id2494_E-6.21.cif,MgAl2(BO2)2,-6.2052,4.228,Insulator,P4/mmm,123,9
Sc2P_id310_E-6.19.cif,Sc2P,-6.1931,0.0,Metal,Pn-3m,224,6
Ti3Al2C3_id520_E-6.19.cif,Ti3Al2C3,-6.1882,0.29,Semiconductor,Cmc2_1,36,32
Ti2B7_id3116_E-6.18.cif,Ti2B7,-6.1766,1.433,Semiconductor,C222_1,20,36
B2C_id1625_E-6.17.cif,B2C,-6.1733,1.646,Semiconductor,Pbcn,60,12
NaCaSc2O6_id741_E-6.16.cif,NaCaSc2O6,-6.1627,3.061,Semiconductor,P2/m,10,10
LiTiN_id1437_E-6.13.cif,LiTiN,-6.1301,1.4,Semiconductor,P2_12_12_1,19,12
Ti2Be2B_id2089_E-6.11.cif,Ti2Be2B,-6.1086,1.948,Semiconductor,P6_422,181,15
Ti(AsN)4_id518_E-6.11.cif,Ti(AsN)4,-6.1068,0.0,Metal,I-42d,122,36
Sc6Zn3N4_id877_E-6.06.cif,Sc6Zn3N4,-6.0612,0.0,Metal,P1,1,52
ScAsN3_id575_E-6.05.cif,ScAsN3,-6.0473,0.0,Metal,Pm-3m,221,5
C_id2496_E-6.05.cif,C,-6.0454,0.292,Semiconductor,Cmm2,35,24
Ti11Zn2_id361_E-6.04.cif,Ti11Zn2,-6.0447,0.347,Semiconductor,P1,1,26
Ti10ZnSi4NO10_id2348_E-6.04.cif,Ti10ZnSi4NO10,-6.0373,1.626,Semiconductor,P4bm,100,52
Sc5Si6_id712_E-6.04.cif,Sc5Si6,-6.035,0.0,Metal,P6_3/mcm,193,22
K3GeC6(SO)6_id1117_E-6.03.cif,K3GeC6(SO)6,-6.0346,1.16,Semiconductor,P321,150,22
Sc_id2240_E-6.03.cif,Sc,-6.0288,0.0,Metal,C2/c,15,20
Ca2Si2C15_id2917_E-6.01.cif,Ca2Si2C15,-6.0119,0.114,Semiconductor,R-3,148,57
ZnP2C6(NO)6_id1508_E-5.99.cif,ZnP2C6(NO)6,-5.9856,0.072,Semiconductor,P2_1,4,42
Ti2Ga_id1972_E-5.98.cif,Ti2Ga,-5.9827,0.0,Metal,I4_1/acd,142,24
Ti2Al_id698_E-5.98.cif,Ti2Al,-5.9753,0.0,Metal,P4_12_12,92,12
TiSn_id184_E-5.97.cif,TiSn,-5.9734,0.0,Metal,Fm-3m,225,64
MgN2_id2298_E-5.97.cif,MgN2,-5.9734,1.9,Semiconductor,P-6m2,187,3
SrO_id2868_E-5.97.cif,SrO,-5.9724,0.052,Semiconductor,P4_2/mmc,131,4
NO_id3379_E-5.97.cif,NO,-5.9691,1.582,Semiconductor,Pbca,61,16
Mg5N12_id2310_E-5.97.cif,Mg5N12,-5.9662,1.913,Semiconductor,P-42_1c,114,34
Sc2C3_id1527_E-5.96.cif,Sc2C3,-5.9556,0.0,Metal,Pbcn,60,20
K2TiO4_id1558_E-5.95.cif,K2TiO4,-5.9512,4.643,Insulator,I4/mmm,139,28
CaO2_id1340_E-5.93.cif,CaO2,-5.9317,0.0,Metal,P3m1,156,6
Sc_id3128_E-5.92.cif,Sc,-5.9192,0.0,Metal,I4_1/amd,141,12
Sc_id2205_E-5.88.cif,Sc,-5.8769,0.0,Metal,P6/mmm,191,9
CaGeO4_id1187_E-5.84.cif,CaGeO4,-5.8425,0.068,Semiconductor,P4/nbm,125,12
Sc_id966_E-5.84.cif,Sc,-5.8385,0.0,Metal,P-4c2,116,16
SnGeO2_id1335_E-5.82.cif,SnGeO2,-5.824,0.0,Metal,I4_122,98,16
InN3_id1794_E-5.82.cif,InN3,-5.8212,1.396,Semiconductor,Cc,9,16
Sc6Ti2GeSe3_id2676_E-5.82.cif,Sc6Ti2GeSe3,-5.8208,0.565,Semiconductor,Pbam,55,24
TiP3S_id2617_E-5.82.cif,TiP3S,-5.8152,0.0,Metal,P2_13,198,20
ZnCd(S2N3)4_id2737_E-5.81.cif,ZnCd(S2N3)4,-5.8105,0.962,Semiconductor,R-3,148,66
MgO2_id2104_E-5.79.cif,MgO2,-5.7926,3.715,Insulator,P4_2/ncm,138,12
K2Sc4CdO5_id2115_E-5.79.cif,K2Sc4CdO5,-5.7923,1.799,Semiconductor,I4/m,87,24
Sc3B4_id629_E-5.79.cif,Sc3B4,-5.7858,0.071,Semiconductor,P4_2/nnm,134,28
Ti2S3_id3069_E-5.79.cif,Ti2S3,-5.7852,0.0,Metal,Pn-3,201,20
LiMgTi6Al2Zn2CdO8_id1132_E-5.78.cif,LiMgTi6Al2Zn2CdO8,-5.7812,0.157,Semiconductor,P4_3,78,84
Sc2Al2CO2_id1830_E-5.78.cif,Sc2Al2CO2,-5.7808,0.0,Metal,C2/m,12,28
