file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms
TiO_id509_E-9.05.cif,TiO,-9.0466,0.0,Metal,Pca2_1,29,8
TiO2_id4862_E-8.78.cif,TiO2,-8.7835,1.519,Semiconductor,Pbca,61,24
TiO_id3287_E-8.40.cif,TiO,-8.3964,0.02,Metal,Pn-3m,224,12
Ti6N_id2783_E-8.36.cif,Ti6N,-8.3648,0.0,Metal,P6_322,182,14
LiSc4O6_id1691_E-8.30.cif,LiSc4O6,-8.2959,3.279,Semiconductor,I4/m,87,22
Ti2O3_id4575_E-8.05.cif,Ti2O3,-8.0543,1.202,Semiconductor,Pbcn,60,20
Ti4C_id3441_E-8.02.cif,Ti4C,-8.0226,0.0,Metal,Im-3m,229,10
Ti4BO_id4251_E-7.97.cif,Ti4BO,-7.9742,0.0,Metal,P6_422,181,18
TiN_id3265_E-7.86.cif,TiN,-7.8577,0.0,Metal,P6/mmm,191,12
Ti2GaN2_id2540_E-7.84.cif,Ti2GaN2,-7.8351,0.024,Metal,Pa-3,205,20
SrN6_id4290_E-7.83.cif,SrN6,-7.8323,0.718,Semiconductor,P6_322,182,14
Ti_id2601_E-7.78.cif,Ti,-7.7753,0.0,Metal,P6_322,182,40
Ti_id3165_E-7.76.cif,Ti,-7.7603,0.0,Metal,Fm-3m,225,28
Sc3GeN_id1303_E-7.75.cif,Sc3GeN,-7.7524,0.252,Semiconductor,Pm-3m,221,5
KTi3O7_id2782_E-7.72.cif,KTi3O7,-7.7174,0.0,Metal,Pm-3n,223,22
TiSiN2_id2860_E-7.64.cif,TiSiN2,-7.64,0.88,Semiconductor,Fm-3m,225,16
Ti3Si_id2739_E-7.56.cif,Ti3Si,-7.5593,0.0,Metal,I4/mmm,139,8
Sc2SN_id3225_E-7.55.cif,Sc2SN,-7.5541,0.0,Metal,R-3m,166,24
Ti2B_id351_E-7.55.cif,Ti2B,-7.5473,0.0,Metal,P6_422,181,9
Sc2TiN_id3222_E-7.53.cif,Sc2TiN,-7.528,0.0,Metal,Ibca,73,32
Sc2O5_id3409_E-7.46.cif,Sc2O5,-7.4628,3.307,Semiconductor,Pba2,32,14
Sc2GeN2_id4719_E-7.45.cif,Sc2GeN2,-7.4495,0.0,Metal,Pa-3,205,20
CaN4_id750_E-7.31.cif,CaN4,-7.3138,2.707,Semiconductor,R-3,148,45
ScC_id4685_E-7.31.cif,ScC,-7.3067,1.572,Semiconductor,P4_2cm,101,16
Sc2BO2_id259_E-7.21.cif,Sc2BO2,-7.2053,3.666,Insulator,P4/mnc,128,20
Ti_id1389_E-7.15.cif,Ti,-7.145,0.0,Metal,I-4m2,119,20
Sc4NO_id4360_E-7.14.cif,Sc4NO,-7.1367,0.0,Metal,I-42d,122,24
BaZnN8_id1059_E-7.12.cif,BaZnN8,-7.1208,3.523,Insulator,I4_1/a,88,40
Sc4S2N3O8_id310_E-7.08.cif,Sc4S2N3O8,-7.0755,3.032,Semiconductor,R3m,160,51
C_id3889_E-7.07.cif,C,-7.0683,0.0,Metal,P6cc,184,48
ScTi_id4432_E-7.07.cif,ScTi,-7.0665,0.0,Metal,P4/mmm,123,16
Ti2ZnO4_id2472_E-7.05.cif,Ti2ZnO4,-7.053,1.424,Semiconductor,Ccce,68,28
Sc2C5_id2729_E-7.05.cif,Sc2C5,-7.0526,0.009,Metal,Cccm,66,28
Ti2B_id146_E-7.05.cif,Ti2B,-7.0504,0.0,Metal,P6_422,181,9
