file_name,formula,energy,bandgap,type,space_group_symbol,space_group_number,num_atoms,harvest_mode
BaTiO3_id3706_E-8.38.cif,BaTiO3,-8.3803,1.188,Semiconductor,Fm-3m,225,40,LIGHT
Ti3SO3_id1431_E-8.37.cif,Ti3SO3,-8.3746,1.26,Semiconductor,R-3c,167,42,LIGHT
NaSc4O6_id1490_E-8.24.cif,NaSc4O6,-8.2374,0.0,Metal,I4/m,87,22,LIGHT
ScTi3O2_id1726_E-8.19.cif,ScTi3O2,-8.1884,0.0,Metal,Pn-3m,224,12,LIGHT
Ti2N_id3404_E-8.16.cif,Ti2N,-8.1595,0.0,Metal,Pbcn,60,12,LIGHT
Sc3O2_id4900_E-7.99.cif,Sc3O2,-7.9858,0.0,Metal,P23,195,10,LIGHT
BaTi3O7_id1372_E-7.97.cif,BaTi3O7,-7.9721,0.0,Metal,Pm-3n,223,22,LIGHT
Ti9GaO6_id4084_E-7.92.cif,Ti9GaO6,-7.9201,0.302,Semiconductor,Pm-3,200,16,LIGHT
Ti2C3_id2550_E-7.92.cif,Ti2C3,-7.9162,1.069,Semiconductor,P4_22_12,94,20,LIGHT
ScN4_id2605_E-7.84.cif,ScN4,-7.837,1.006,Semiconductor,I4_1/a,88,20,LIGHT
Sc3ZnO4_id4739_E-7.81.cif,Sc3ZnO4,-7.8129,1.147,Semiconductor,Pm-3m,221,8,LIGHT
Ti6N2O7_id4198_E-7.78.cif,Ti6N2O7,-7.7804,0.0,Metal,P321,150,15,LIGHT
Ti6O7_id1624_E-7.77.cif,Ti6O7,-7.7652,1.835,Semiconductor,C2/m,12,26,LIGHT
Sc2O3_id4280_E-7.76.cif,Sc2O3,-7.764,3.651,Insulator,Pbcn,60,20,LIGHT
Ti3C2O_id1446_E-7.75.cif,Ti3C2O,-7.7539,0.0,Metal,P4_2/m,84,24,LIGHT
TiPO2_id228_E-7.72.cif,TiPO2,-7.7207,1.683,Semiconductor,Pbca,61,32,LIGHT
Ti_id204_E-7.71.cif,Ti,-7.706,0.0,Metal,P6/mcc,192,26,LIGHT
Ti2BC_id1543_E-7.69.cif,Ti2BC,-7.6915,0.0,Metal,P6_222,180,12,LIGHT
Ti2N15_id4140_E-7.64.cif,Ti2N15,-7.6436,0.38,Semiconductor,C2/m,12,34,LIGHT
Ti2N2O3_id1284_E-7.62.cif,Ti2N2O3,-7.6236,1.434,Semiconductor,P6_222,180,21,LIGHT
Ti4N5_id3569_E-7.61.cif,Ti4N5,-7.605,0.0,Metal,Cmcm,63,36,LIGHT
Ti_id2815_E-7.60.cif,Ti,-7.6015,0.0,Metal,Pmna,53,18,LIGHT
Sc3SnN_id2957_E-7.59.cif,Sc3SnN,-7.5887,0.0,Metal,Pm-3m,221,5,LIGHT
Sc4N5_id3478_E-7.56.cif,Sc4N5,-7.5576,0.805,Semiconductor,F-43m,216,36,LIGHT
Ti2B_id3048_E-7.55.cif,Ti2B,-7.5477,0.0,Metal,P6_422,181,9,LIGHT
CaC2NO2_id686_E-7.54.cif,CaC2NO2,-7.5395,1.731,Semiconductor,Pnma,62,24,LIGHT
