🚀 STARTING PHASE 3: ENGINEER (Adaptive Target: 1.5 eV)
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\model.pt...
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\state.pt...
Using cached local file at C:\Users\REHNA\.cache\matgl\MEGNet-MP-2019.4.1-BandGap-mfi\model.json...
📊 Ep 1 | Time: 26:11 | Rwrd: 6.48 | Gap: 0.44eV
📊 Ep 2 | Time: 29:14 | Rwrd: 5.00 | Gap: 0.26eV
📊 Ep 3 | Time: 28:32 | Rwrd: 6.67 | Gap: 0.32eV
📊 Ep 4 | Time: 27:34 | Rwrd: 5.73 | Gap: 0.37eV
📊 Ep 5 | Time: 28:05 | Rwrd: 6.30 | Gap: 0.47eV
📊 Ep 6 | Time: 28:27 | Rwrd: 5.49 | Gap: 0.32eV
📊 Ep 7 | Time: 28:39 | Rwrd: 7.35 | Gap: 0.47eV
📊 Ep 8 | Time: 27:38 | Rwrd: 6.28 | Gap: 0.37eV
📊 Ep 9 | Time: 27:23 | Rwrd: 5.79 | Gap: 0.26eV
📊 Ep 10 | Time: 28:48 | Rwrd: 6.41 | Gap: 0.42eV
📊 Ep 11 | Time: 28:20 | Rwrd: 6.10 | Gap: 0.39eV
📊 Ep 12 | Time: 27:43 | Rwrd: 5.75 | Gap: 0.35eV
📊 Ep 13 | Time: 29:10 | Rwrd: 7.28 | Gap: 0.43eV
📊 Ep 14 | Time: 27:27 | Rwrd: 5.01 | Gap: 0.33eV
📊 Ep 15 | Time: 27:51 | Rwrd: 5.31 | Gap: 0.29eV
📊 Ep 16 | Time: 26:39 | Rwrd: 4.86 | Gap: 0.38eV
📊 Ep 17 | Time: 27:17 | Rwrd: 6.32 | Gap: 0.50eV
📊 Ep 18 | Time: 28:07 | Rwrd: 7.06 | Gap: 0.41eV
📊 Ep 19 | Time: 28:56 | Rwrd: 6.24 | Gap: 0.31eV
📊 Ep 20 | Time: 27:42 | Rwrd: 5.94 | Gap: 0.42eV
📊 Ep 21 | Time: 27:49 | Rwrd: 6.87 | Gap: 0.43eV
📊 Ep 22 | Time: 27:42 | Rwrd: 5.55 | Gap: 0.37eV
📊 Ep 23 | Time: 27:42 | Rwrd: 6.94 | Gap: 0.53eV
📊 Ep 24 | Time: 27:03 | Rwrd: 6.13 | Gap: 0.34eV
📊 Ep 25 | Time: 29:22 | Rwrd: 5.53 | Gap: 0.33eV
📊 Ep 26 | Time: 28:23 | Rwrd: 6.22 | Gap: 0.37eV
📊 Ep 27 | Time: 27:15 | Rwrd: 5.41 | Gap: 0.42eV
📊 Ep 28 | Time: 27:15 | Rwrd: 6.38 | Gap: 0.33eV
📊 Ep 29 | Time: 28:57 | Rwrd: 7.05 | Gap: 0.56eV
📊 Ep 30 | Time: 28:41 | Rwrd: 7.59 | Gap: 0.46eV
📊 Ep 31 | Time: 28:27 | Rwrd: 6.02 | Gap: 0.67eV
📊 Ep 32 | Time: 29:37 | Rwrd: 7.33 | Gap: 0.37eV
📊 Ep 33 | Time: 30:21 | Rwrd: 6.89 | Gap: 0.50eV
📊 Ep 34 | Time: 29:30 | Rwrd: 7.40 | Gap: 0.39eV
📊 Ep 35 | Time: 28:53 | Rwrd: 7.03 | Gap: 0.48eV
📊 Ep 36 | Time: 29:42 | Rwrd: 6.19 | Gap: 0.37eV
📊 Ep 37 | Time: 28:25 | Rwrd: 6.46 | Gap: 0.31eV
📊 Ep 38 | Time: 28:32 | Rwrd: 6.03 | Gap: 0.46eV
📊 Ep 39 | Time: 29:56 | Rwrd: 7.15 | Gap: 0.51eV
📊 Ep 40 | Time: 29:59 | Rwrd: 7.79 | Gap: 0.47eV
📊 Ep 41 | Time: 30:00 | Rwrd: 5.79 | Gap: 0.44eV
📊 Ep 42 | Time: 28:57 | Rwrd: 4.35 | Gap: 0.31eV
